Date,MinTemp,MaxTemp,Rainfall,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
2014-12-03,16.6,24.2,0.2,4.7,NW,50,NW,35,60,1004.6,7,19.9,No,Yes
2014-12-04,13.3,26.5,6.6,11.8,NW,50,WNW,26,40,1006.3,2,25.1,Yes,No
2014-12-05,14.5,21.8,0,9.8,ENE,43,E,30,63,1015.3,1,20.5,No,No
2014-12-06,16.3,26.8,0,6.3,ENE,39,ESE,9,54,1016.1,7,24.5,No,No
2014-12-07,17.2,25.8,0,8.8,SW,41,N,6,74,1011.5,7,22.6,No,Yes
2014-12-08,16.5,28.2,4,8.8,NE,39,N,13,42,1011.4,1,26.3,Yes,No
2014-12-09,15,29.4,0,11.1,NW,43,W,24,24,1008.5,7,28.6,No,No
2014-12-10,14.9,24.8,0,10,NNW,35,WNW,6,37,1010.4,7,22.9,No,No
2014-12-11,11.8,18.5,0.6,2.3,ENE,35,E,15,63,1017.4,6,16.4,No,No
2014-12-12,11.7,21.5,0,7.3,ENE,41,E,24,51,1019.6,5,19.4,No,No
2014-12-13,9.6,20.3,0,3.6,SE,39,E,20,49,1019.3,7,19.2,No,No
2014-12-14,8.9,27.1,0,12.7,E,35,N,11,37,1012.5,2,25,No,No
2014-12-15,10.1,29.9,0,8.8,E,41,WNW,13,36,1010.2,8,29.1,No,Yes
2014-12-16,15.5,21.1,5.4,0.9,S,31,NE,7,86,1008.6,8,20,Yes,Yes
2014-12-17,10.8,21.7,1.4,10.6,ESE,48,ESE,20,40,1016.8,4,20.8,Yes,No
2014-12-18,7.5,20.9,0,8.7,ENE,39,E,20,43,1018.3,7,19.8,No,No
2014-12-19,12.8,21,0,0.8,NE,22,ENE,6,54,1015.6,8,20,No,Yes
2014-12-20,12.6,23.1,3.4,2.3,NNW,30,NW,13,74,1014.1,7,20.4,Yes,Yes
2014-12-21,14.8,29.5,6.4,8.1,N,41,NW,22,48,1008.3,7,28.2,Yes,Yes
2014-12-22,19.9,22,11,5.9,NNW,76,WNW,30,62,996.8,3,19.6,Yes,Yes
2014-12-23,9.2,20.4,17.4,10.2,ENE,39,N,20,49,1009.1,7,18.8,Yes,No
2014-12-24,12.4,24.4,0,12.1,NW,44,WNW,13,43,1009.7,4,22.5,No,Yes
2014-12-25,11.3,21.7,3.4,5.6,E,41,NE,11,52,1019.1,3,21,Yes,No
2014-12-26,9.8,26.3,0,13,NNW,41,NNW,19,35,1018,1,23.9,No,No
2014-12-27,14.3,26.7,0,7.1,NNW,65,NNW,48,64,1014.3,7,19,No,Yes
2014-12-28,15.1,28.3,14.4,13.2,NNW,28,NW,13,44,1013.4,5,27.4,Yes,No
2014-12-29,14.4,31.6,0,13.6,NNW,30,N,7,30,1014.2,2,30.3,No,No
2014-12-30,15.4,35,0,13,E,39,ESE,22,18,1015,1,34.3,No,No
2014-12-31,13.8,33.5,0,13.6,NE,31,NE,9,20,1015.6,1,32.2,No,No
2015-01-01,13.6,34.2,0,12.8,NNE,35,W,11,20,1011.6,6,31.8,No,No
2015-01-02,14.3,35,0,10.5,ESE,41,WSW,9,14,1008.7,1,33.6,No,No
2015-01-03,15.9,23.4,0,2.2,ESE,50,ESE,24,55,1016.3,7,22.3,No,No
2015-01-04,16.7,25.3,0,12.5,ESE,46,ESE,26,45,1013,7,23.9,No,No
2015-01-05,12.1,27.5,0,11.7,NE,35,E,15,40,1007.4,2,26.8,No,No
2015-01-06,14.3,34.1,0,10.5,ENE,39,NNW,19,34,1003.3,1,31.9,No,No
2015-01-07,16.5,33.9,0,12.6,ENE,39,NW,11,36,1009.5,1,31.3,No,No
2015-01-08,16.5,30.3,0,8.1,E,46,N,9,44,1013.4,1,28,No,No
2015-01-09,17.5,29.9,0,8.8,E,43,ENE,11,45,1015.9,1,27.9,No,No
2015-01-10,14.7,34.2,0,12.8,NE,33,NW,11,25,1013.3,1,32.2,No,No
2015-01-11,17.5,35.8,0,13.3,SSE,57,NW,19,24,1006.5,1,34.5,No,No
2015-01-12,20.9,35.7,0,6.9,SW,50,WNW,17,28,1003,2,34,No,Yes
2015-01-13,17,33.8,2,13.5,WNW,52,W,24,35,1001.8,3,31.8,Yes,No
2015-01-14,16,22.8,0,6,E,50,ENE,19,57,1012.3,6,21.6,No,No
2015-01-15,15.4,33.8,0,11.1,W,35,NW,15,26,1009,1,31.7,No,No
2015-01-16,17.9,33.2,0,8.4,N,59,NNE,20,62,1006.1,7,23.5,No,Yes
2015-01-17,15.2,25.1,4.8,11.6,E,46,ESE,28,42,1015,1,23.9,Yes,No
2015-01-18,15.1,20.4,0,0.1,ESE,39,ESE,19,55,1015.8,8,19.4,No,Yes
2015-01-19,15.3,19.6,18.8,0,NE,33,NNE,13,88,1006,8,18.6,Yes,Yes
2015-01-20,17.2,24.7,12.2,8.1,NW,50,WNW,28,71,1004,8,21.9,Yes,No
2015-01-21,15.9,19.9,0.8,1.6,E,48,ESE,22,58,1012.1,7,18.6,No,No
2015-01-22,10,22.5,0,11.6,E,33,S,7,46,1016.8,2,22.2,No,No
2015-01-23,9.9,24.4,0,10.8,NE,28,E,7,38,1019.2,4,22.7,No,No
2015-01-24,10.3,27.8,0,9.9,ENE,35,NE,11,29,1018.1,6,26.3,No,No
2015-01-25,15.4,25.7,0,8.2,E,41,NE,17,32,1016.9,7,24.6,No,No
2015-01-26,12.7,28.8,0,9,NNE,28,SSW,7,28,1012.4,5,28.3,No,No
2015-01-27,13.2,31.3,0,11.6,WSW,46,WNW,26,28,1009.5,4,30.7,No,No
2015-01-28,15.3,33.2,0,13.2,NNW,44,NW,24,18,1012,1,32.1,No,No
2015-01-29,17.9,33.9,0,11.8,ENE,46,W,11,22,1014.6,1,32.3,No,No
2015-01-30,18,34.9,0,9.9,NW,69,W,13,29,1013.7,6,33.1,No,Yes
2015-01-31,17.6,27.8,5.2,3.6,ESE,39,NNW,13,49,1012.8,8,26.3,Yes,Yes
2015-02-01,16,23.8,2.2,6.2,SSE,30,ESE,11,49,1017.1,7,22.9,Yes,No
2015-02-02,14.9,28.8,0,8.1,NNE,30,NNE,11,44,1014.5,2,27,No,No
2015-02-03,17.1,29.6,0,9.2,E,48,ESE,17,38,1012.8,7,29.1,No,Yes
2015-02-04,18.2,22.6,1.8,0,ENE,33,ENE,13,76,1011.5,8,22.1,Yes,Yes
2015-02-05,16.8,22.8,9,0.3,ESE,30,SSE,11,71,1007.8,8,21.5,Yes,No
2015-02-06,13.6,27.4,1,8,W,52,WNW,24,41,997.5,7,26.5,No,No
2015-02-07,14.5,24.2,0,5.9,SSW,61,NNW,20,76,998.9,7,20.3,No,Yes
2015-02-08,12.4,19.9,16.2,5.6,ENE,41,ESE,20,58,1005,7,18.7,Yes,No
2015-02-09,10.4,20.9,0,8.9,SSE,33,S,17,51,1006.8,6,18.7,No,No
2015-02-10,9.1,23.1,0,9.6,ENE,41,W,13,37,1011.4,7,21.4,No,No
2015-02-11,8.9,26,0,10.7,NE,31,NE,13,34,1011.7,5,24.2,No,Yes
2015-02-12,14.5,24.2,4.4,5.9,W,48,WNW,17,60,1006.8,5,22.6,Yes,Yes
2015-02-13,12.6,18.2,11,0.4,ENE,30,SSE,15,73,1011,8,16.8,Yes,No
2015-02-14,8.6,24.2,0.2,12.7,E,33,SE,9,37,1015.1,1,22,No,No
2015-02-15,10.8,25.2,0,12.6,ENE,35,E,7,32,1016.7,1,24.3,No,No
2015-02-16,11.2,26.1,0,12.6,ENE,39,E,19,40,1020,1,24.7,No,No
2015-02-17,12.1,24.1,0,10.2,ENE,46,NNE,13,46,1021.4,1,22.5,No,No
2015-02-18,10.8,25.8,0,11.7,E,31,NNE,11,42,1017.4,4,24.1,No,No
2015-02-19,11.4,27.1,0,12.1,NE,33,SE,15,38,1012.8,2,26.1,No,No
2015-02-20,12,28.9,0,8.2,ESE,39,WNW,9,31,1009.1,7,28.6,No,Yes
2015-02-21,16.3,24.8,1.8,3.8,S,50,N,7,56,1008.4,7,24,Yes,Yes
2015-02-22,12.7,28.6,6.6,8.6,W,50,W,28,42,1002.3,5,27.4,Yes,No
2015-02-23,12.7,25.1,0,12.4,NW,46,WNW,26,32,1005.4,1,24.5,No,No
2015-02-24,12,23.8,0,12.4,NW,44,WNW,30,34,1007.2,1,22.9,No,No
2015-02-25,11.5,25.9,0,10.2,ENE,44,WSW,7,35,1014.3,2,24.3,No,No
2015-02-26,13,28.2,0,11.6,NW,44,NW,17,27,1014.4,6,27,No,No
2015-02-27,11.7,27.6,0,8.1,W,48,W,30,25,1009.1,6,26.8,No,No
2015-02-28,14.8,17.3,0,0.8,SSE,48,SE,13,78,1009.9,7,15.3,No,Yes
2015-03-01,7.7,18.4,10.4,12,S,48,S,17,34,1014.5,1,16.8,Yes,No
2015-03-02,4.4,21.8,0,12.1,S,35,SSE,15,31,1019.3,1,20,No,No
2015-03-03,7.4,24.4,0,11.6,E,35,WNW,11,37,1023.2,2,22.1,No,No
2015-03-04,8.3,27.3,0,10.1,E,35,WNW,9,28,1020.4,1,25.5,No,No
2015-03-05,10.1,28.2,0,7.3,ESE,39,WNW,7,28,1018.2,7,27,No,No
2015-03-06,12,27.6,0,11,E,46,WSW,6,35,1022.2,1,26.2,No,No
2015-03-07,12.9,31.8,0,11.3,WSW,41,NNE,9,24,1019.3,3,30,No,No
2015-03-08,10.8,29.2,0,7.5,E,50,ENE,9,34,1017.7,7,27.7,No,Yes
2015-03-09,9.5,27.4,3,11.5,NNW,24,NNW,9,39,1020.7,7,24.9,Yes,No
2015-03-10,12.1,27.8,0,11.5,E,41,NNE,11,33,1023.1,1,27,No,No
2015-03-11,12.5,31.7,0,11.2,WNW,24,W,9,28,1020.4,1,30.1,No,No
2015-03-12,13.9,34.7,0,8.5,SSW,46,ENE,7,18,1019.3,3,32.7,No,No
2015-03-13,13.3,31.7,0.2,11,WNW,44,WSW,28,23,1017.6,5,30.7,No,No
2015-03-14,13.2,33.1,0,9.7,ENE,39,NNW,7,18,1017.7,1,31.7,No,No
2015-03-15,12.3,33.8,0,11.3,W,22,W,13,15,1019.1,1,32.7,No,No
2015-03-16,13.8,35.2,0,11.2,SE,48,ESE,4,15,1019.3,2,34.1,No,No
2015-03-17,11.3,32.3,0,11.4,NE,28,WNW,6,17,1020.7,2,30.5,No,No
2015-03-18,11.7,30.2,0,11.2,NE,33,NNW,13,22,1020.6,0,28.8,No,No
2015-03-19,12.5,29.9,0,10.7,NW,43,WNW,19,30,1018.8,1,29.2,No,No
2015-03-20,15.1,26.2,0,9.8,NE,31,NNE,15,48,1018.7,4,24.5,No,No
2015-03-21,11.5,29.3,0,8,NW,46,WSW,26,35,1009.4,7,27.6,No,No
2015-03-22,13,14.8,0,0,SE,30,ESE,17,62,1019.3,8,13.9,No,No
2015-03-23,11.6,19.6,0,1.6,E,33,ESE,17,64,1021.8,8,17.9,No,No
2015-03-24,12.8,24.9,0,6.2,ENE,30,SW,7,44,1019.3,6,24.2,No,No
2015-03-25,15.5,22.4,0.6,1.9,NW,28,WNW,19,68,1015.4,7,21.1,No,Yes
2015-03-26,13.1,17.4,6.4,0,NNW,43,N,20,93,1006.5,8,16.6,Yes,Yes
2015-03-27,12.6,20.2,19.8,9.1,W,46,W,20,50,1008.4,4,17.4,Yes,No
2015-03-28,4.4,18.3,0,9.6,N,33,N,17,36,1012.6,2,17.4,No,No
2015-03-29,4.4,18.2,0,11,W,31,WNW,19,35,1015,3,17.2,No,No
2015-03-30,7.1,18.5,0,10,NW,57,NW,22,30,1011.3,6,18.2,No,No
2015-03-31,4.2,18.9,0,10.8,WNW,50,WNW,31,34,1009.3,2,18.1,No,No
2015-04-01,9.6,18.8,0,10,WNW,57,W,26,42,1013,5,16.5,No,No
2015-04-02,3.5,21.8,0,10.3,NNW,22,WNW,11,34,1021.2,1,21.2,No,No
2015-04-03,5.3,23.3,0,5.6,NNW,83,NW,37,26,1010.5,8,22.5,No,Yes
2015-04-04,7,14.3,2.6,9.7,WNW,63,W,33,40,1012.7,3,13.7,Yes,No
2015-04-05,0.4,18.9,0,9.6,N,22,WSW,7,33,1019.1,1,17.6,No,No
2015-04-06,3.2,21.4,0,10.6,E,26,NNW,7,27,1022.3,1,20.5,No,No
2015-04-07,5.9,21.8,0,9.3,E,35,NNW,11,35,1024.1,5,20.8,No,No
2015-04-08,8.1,20.5,0,7.8,ENE,31,ENE,11,48,1024,5,19.5,No,No
2015-04-09,6.9,18.9,0,4.1,ESE,39,SE,9,45,1025.4,4,17.8,No,No
2015-04-10,5.6,19.5,0,6.8,SW,17,WNW,6,49,1021.8,4,18.6,No,No
2015-04-11,7.2,22.9,0,9.5,E,26,N,6,28,1019.2,1,22.2,No,No
2015-04-12,7.1,23.4,0,10.2,ESE,39,WSW,7,29,1016.9,1,22.4,No,No
2015-04-13,6.1,24.1,0,6.1,WNW,35,WNW,11,32,1015.8,3,23.7,No,Yes
2015-04-14,7.1,19.8,2,7.7,W,39,NW,15,56,1013.8,2,19.1,Yes,Yes
2015-04-15,5.6,18,5.2,9.3,S,31,SSE,20,40,1019.6,1,17.9,Yes,No
2015-04-16,5.4,20.7,0,10.8,SSE,28,S,9,36,1023.9,2,20.4,No,No
2015-04-17,6.3,19.3,0,10.6,S,31,SE,13,39,1024.4,1,18.8,No,No
2015-04-18,5.3,21,0,6.3,WNW,26,NW,7,44,1023.3,2,20.4,No,No
2015-04-19,7.9,19.7,0,8.3,ESE,48,ENE,11,43,1024.1,6,19.1,No,No
2015-04-20,8.4,16.1,0,4.9,SE,35,ESE,22,51,1027.4,7,15.2,No,No
2015-04-21,8.1,18.7,0,7.1,ESE,33,ESE,30,65,1024.2,7,15.6,No,No
2015-04-22,2.4,20.6,0,10.1,E,30,SSE,7,34,1021,2,19.8,No,No
2015-04-23,5.6,18.9,0,8,SE,33,E,22,49,1023.5,6,17.7,No,No
2015-04-24,7.5,19,0,6.8,ENE,26,ESE,7,43,1022.2,5,18.1,No,No
2015-04-25,2.5,21.2,0,7.9,NE,28,NE,9,55,1019.8,4,17.6,No,No
2015-04-26,5,20.9,0,8.9,WNW,22,NW,7,42,1014.3,6,20.6,No,No
2015-04-27,3.8,21.7,0.2,6.5,NW,44,WNW,20,34,1006.7,7,20.2,No,No
2015-04-28,7.9,18.7,0,5.8,NW,59,NW,31,51,997.7,6,16.6,No,Yes
2015-04-29,4.3,11.3,7.2,5.6,W,57,WNW,22,60,1008.1,6,8.8,Yes,No
2015-04-30,-2.1,13.8,0.2,9.5,NNW,22,NNW,9,40,1019.6,1,13.2,No,No
2015-05-01,-1.8,14.8,0,7,N,28,N,19,40,1020.5,7,13.9,No,No
2015-05-02,3.8,13.8,0,0.8,WNW,31,NNW,26,54,1018.5,7,12.4,No,No
2015-05-03,2.1,17.3,0,9.2,W,43,WNW,28,38,1017.3,2,15.9,No,No
2015-05-04,0.5,17.1,0,9.4,NW,31,W,13,42,1017.4,1,16.2,No,No
2015-05-05,-0.9,16.7,0,9.3,NNW,30,NNW,15,42,1018.5,2,15.4,No,No
2015-05-06,0.4,19,0,8.3,NW,39,WNW,19,41,1015.8,5,18.5,No,No
2015-05-07,7.5,16.8,0,3,NW,41,NW,26,53,1013.8,7,15.4,No,No
2015-05-08,8.3,17.6,0,9.4,WNW,43,WNW,30,43,1013.5,1,16.5,No,No
2015-05-09,-0.2,18.1,0,9.4,NW,24,NW,9,44,1018.9,1,16.9,No,No
2015-05-10,0.1,21,0,9.2,NNW,17,N,9,36,1020.3,1,20.7,No,No
2015-05-11,1.5,20.9,0,9.3,NW,20,NNW,9,41,1020,1,20.9,No,No
2015-05-12,8.3,17.4,0,1.6,E,20,NE,11,52,1021.5,7,17.2,No,No
2015-05-13,9.4,19.2,0,7.7,NA,24,NNW,15,47,1020.3,1,18.8,No,No
2015-05-14,1.3,19,0,9.4,NNW,30,NW,15,34,1021.4,2,18.6,No,No
2015-05-15,2.2,18.6,0,9.2,NNW,31,NNW,20,44,1021,3,17.8,No,No
2015-05-16,-0.4,17.9,0,8.7,NW,33,NW,20,40,1018.7,2,17.7,No,Yes
2015-05-17,4.5,16,1.8,4.3,NW,35,NW,15,69,1013.7,7,15.2,Yes,No
2015-05-18,7.9,12.3,1,1.7,NW,52,NW,24,78,1005.9,7,7.3,No,No
2015-05-19,4.3,14.1,0.8,8.8,NW,41,WNW,26,53,1008.3,6,13.3,No,No
2015-05-20,-2.7,18.1,0,9.3,W,52,WNW,24,36,1014.3,1,16.7,No,No
2015-05-21,0.3,17,0,5.6,WNW,31,WNW,24,52,1018.6,1,16.2,No,No
2015-05-22,3.8,17.4,0,7.3,E,24,W,7,47,1022.9,2,16.6,No,No
2015-05-23,2.4,14.7,0,9.2,ESE,20,E,6,43,1026,1,13.8,No,No
2015-05-24,1.2,14.8,0,6.7,SE,17,SSW,6,49,1024.8,1,14.5,No,No
2015-05-25,1.2,14.5,0,8.9,SE,17,SSW,6,43,1023.5,1,13.9,No,No
2015-05-26,-0.3,17.5,0,8.4,W,39,NNW,15,48,1021.8,5,17.2,No,Yes
2015-05-27,4.7,18.5,3.8,5.1,ESE,22,W,6,50,1023.1,4,17.9,Yes,Yes
2015-05-28,4.9,18.1,5.2,8.5,NNW,22,NW,13,55,1022.3,1,17.7,Yes,No
2015-05-29,1.4,16.8,0,8.2,NW,20,NW,6,50,1024.7,4,16.3,No,No
2015-05-30,2.2,17.5,0.2,8.5,NW,20,WNW,7,45,1029.6,1,17.3,No,No
2015-05-31,-0.1,18,0,8.6,NA,NA,NNW,15,46,1028.7,1,17.4,No,No
2015-06-01,-0.9,18.5,0,8.9,E,22,N,7,38,1027.4,3,18.2,No,No
2015-06-02,0.6,14,0,2.7,NE,17,ENE,7,67,1028.9,7,13.9,No,No
2015-06-03,4.6,15.7,0,0.6,NNE,15,NNE,6,67,1027.1,7,15.5,No,No
2015-06-04,9.8,14.4,0.8,0,ESE,20,ESE,11,86,1027.2,8,13.6,No,Yes
2015-06-05,10.6,15.1,3.8,2.6,SSE,41,SE,20,65,1025.7,7,13.3,Yes,No
2015-06-06,7.8,15.1,0,2.7,S,31,S,20,65,1023.4,7,14.8,No,No
2015-06-07,4.4,16.7,0,9,S,22,NNE,4,42,1022.1,1,16.2,No,No
2015-06-08,-0.2,15.5,0,9,NE,28,ESE,11,42,1027,1,14.5,No,No
2015-06-09,4.3,14.5,0,3,E,30,ENE,13,70,1031.7,7,13,No,No
2015-06-10,7.4,16.3,0,NA,NNE,30,NE,19,65,1027.9,7,14.5,No,Yes
2015-06-11,8.6,13.7,6.2,0,NW,31,NA,0,94,1024.3,8,11.6,Yes,Yes
2015-06-12,10.2,15,4.8,0.5,NW,46,NW,17,65,1022.1,7,13.7,Yes,No
2015-06-13,7.3,16.4,0.2,8.5,NW,43,WNW,24,48,1019.7,1,14.7,No,No
2015-06-14,8.7,13,0.6,7.1,WNW,54,WNW,28,58,1014.1,2,11.1,No,No
2015-06-15,1,11.8,0,7.2,S,48,S,24,49,1025.6,1,11,No,No
2015-06-16,2.1,14.7,0,8.2,S,43,SSW,26,57,1026.3,2,13.8,No,No
2015-06-17,6.4,16.9,0,5.9,SSW,26,ESE,9,51,1024.8,2,16,No,No
2015-06-18,5.4,15.5,0,5.8,NNE,20,NNE,7,58,1025.5,1,14.9,No,No
2015-06-19,0.4,15.5,0,4.7,N,13,NNW,9,70,1023.5,7,15,No,No
2015-06-20,4,15.9,0,2,NNW,17,SSE,7,63,1019.7,7,14.8,No,Yes
2015-06-21,8.4,11.7,4.8,0,W,26,WNW,7,86,1019.2,7,11.3,Yes,No
2015-06-22,0.4,13.9,0.6,7.7,WNW,41,WNW,19,59,1021,6,12.1,No,No
2015-06-23,4.2,14,0,7.6,NW,33,SE,9,44,1025.7,4,12.5,No,No
2015-06-24,0.9,12.9,0,6.8,NW,24,N,15,53,1022.1,7,12.3,No,No
2015-06-25,0.8,13,0,4.1,WNW,41,NW,28,69,1024.2,6,11.7,No,No
2015-06-26,4.3,12.6,0,9,NW,46,WNW,28,54,1021.9,1,11.3,No,No
2015-06-27,6.3,11.8,0,6.5,WNW,63,WNW,28,48,1020.4,1,11.5,No,No
2015-06-28,3.5,14.3,0,8.9,NNW,35,NNW,24,51,1025,1,12.7,No,No
2015-06-29,-1.5,14.8,0,8,NW,15,NW,9,41,1026,3,14.5,No,No
2015-06-30,1.2,16,0,6.1,NNW,31,N,22,38,1020.9,6,14.6,No,No
2015-07-01,0.5,15.4,0,6.4,W,70,NNW,28,68,1010.2,7,12.9,No,Yes
2015-07-02,5.3,11.7,2,5.6,NW,78,W,33,56,1012.3,1,11.1,Yes,No
2015-07-03,6.6,13.1,0.2,8.2,WNW,61,WNW,30,53,1014,1,12.3,No,No
2015-07-04,-1.6,11.5,0,8.9,N,31,NNW,20,53,1021.9,1,11.1,No,No
2015-07-05,-3.1,12,0,3.9,ESE,35,NE,13,52,1030,6,10.2,No,No
2015-07-06,-0.1,14.2,0,7,W,13,WNW,2,55,1028.9,2,12.6,No,No
2015-07-07,-0.6,14,0,7.1,NW,41,NNW,22,59,1026.3,5,13.6,No,No
2015-07-08,3,11.1,0.8,0.2,W,35,N,13,96,1021.1,8,8.6,No,Yes
2015-07-09,2.9,9.5,16.8,6.5,NW,35,NW,15,72,1019.6,6,7.4,Yes,No
2015-07-10,-1.3,8.8,0,2.8,WNW,39,NW,15,68,1016.8,6,8,No,No
2015-07-11,1.8,8.7,0,1.2,NW,65,NW,35,85,1010.5,7,6.9,No,Yes
2015-07-12,2.9,8.4,1.6,7.7,NW,59,WNW,31,66,1018.2,3,7.1,Yes,No
2015-07-13,-2.6,11.1,0.2,6.5,N,20,NNW,7,54,1022.7,7,9.9,No,No
2015-07-14,0.5,11,0,0.9,NNW,31,NW,15,69,1021.9,7,10.7,No,No
2015-07-15,2.7,16.5,0,8.9,NNW,41,NNW,22,51,1019,1,15.9,No,No
2015-07-16,-1.7,13.6,0,5.2,NNW,28,NNW,17,46,1020.1,7,13.3,No,No
2015-07-17,-0.9,12.8,0.2,1.9,N,17,NNW,9,62,1020.8,7,12.1,No,No
2015-07-18,-1.8,11.5,0,4.7,NNW,41,NNW,24,55,1013.9,3,11,No,No
2015-07-19,1.3,10.6,0,5.6,NW,46,WNW,33,73,1009.4,5,8.2,No,Yes
2015-07-20,2.4,11.6,1.2,8.1,NW,35,NW,22,48,1014.9,3,10.7,Yes,No
2015-07-21,-1.1,11,0.2,0,WNW,41,NE,6,87,1009,8,8.7,No,Yes
2015-07-22,2.3,11.6,19.2,7.5,WNW,54,WNW,31,56,1010.3,3,11.2,Yes,No
2015-07-23,-2.2,11.6,0,9.2,S,39,SSW,28,33,1025.8,1,11,No,No
2015-07-24,-3.5,11.2,0,7.7,ESE,26,ESE,11,48,1031.1,5,10.1,No,No
2015-07-25,-1,12.2,0,8.4,ESE,30,E,13,51,1027.4,5,10.8,No,No
2015-07-26,-2.1,12.9,0,8.1,S,31,SE,13,25,1020.9,1,12.3,No,No
2015-07-27,-2,11.3,0.2,5.9,WNW,33,WNW,19,50,1015.3,7,10.9,No,No
2015-07-28,-2.3,9.7,0,1.9,SSE,28,WSW,13,66,1010,7,7.8,No,Yes
2015-07-29,-1.6,10.7,1.4,9.1,S,59,S,37,56,1014.9,4,9.6,Yes,No
2015-07-30,0.8,12.2,0,8.6,NA,NA,S,22,49,1016.8,1,11.2,No,No
2015-07-31,-2.8,12.2,0,8.7,NNW,31,NNW,15,48,1014.6,1,11.5,No,No
2015-08-01,-2.8,14.1,0,6.8,WNW,48,WNW,26,38,1012.9,7,12.8,No,No
2015-08-02,3,9.7,1,0.7,W,65,NW,28,82,1001.3,7,8.6,No,Yes
2015-08-03,4.4,11.5,6.6,9.3,WNW,57,WNW,31,56,1014.9,1,10.5,Yes,No
2015-08-04,2.3,12.8,0,9.6,WNW,35,WNW,24,48,1018.1,1,11.6,No,No
2015-08-05,-2,12.3,0,5.8,W,31,W,19,60,1018.3,7,9.1,No,No
2015-08-06,-1.9,10.9,0,4.2,S,50,SSW,26,72,1019.2,8,7.2,No,Yes
2015-08-07,4.8,14.1,4,8.3,S,48,SSE,22,48,1017.6,1,13.6,Yes,No
2015-08-08,-0.6,11.1,0,5,NNW,41,N,26,78,1015.9,7,5.7,No,Yes
2015-08-09,3.1,12.5,1.2,7.2,N,43,N,30,62,1019.1,2,11.3,Yes,No
2015-08-10,-2.9,9.6,0,7.3,NW,43,NW,24,70,1019,6,8.1,No,No
