resident,   gender,age,level,cost,type,survey,pass
1,1,63,1,5.2,2,1,1
3,1,45,3,               ,        ,2,1
2,2,46,1,5,1,,2
5,1,47,3,4,1,,1
1,1,57,1,3.9,1,,2
3,1,55,2,               ,        ,,2
2,1,69,2,4,2,,2
4,2,50,1,4.1,2,3,1
2,1,50,3,5,2,3,1
5,1,54,        ,5,2,3,1
3,1,46,1,4,2,3,1
5,1,55,2,4,1,4,1
5,2,51,1,85.1,1,3,1
3,1,48,2,3.8,        ,,2
1,1,52,3,6,2,4,1
1,1,48,3,3,2,2,1
1,1,51,1,5.3,        ,2,        
4,1,64,2,5,1,2,1
1,1,54,2,7,1,2,1
2,1,42,2,6.4,1,2,1
1,1,54,1,6.2,1,,2
1,1,54,3,5.5,1,,2
1,1,63,2,4.3,1,,2
   ,1,63,2,4.7,1,,2
1,1,45,1,4.8,2,3,1
4,1,55,3,3.9,        ,3,1
2,1,58,2,6,1,2,1
1,1,60,2,4.1,1,,2
1,1,48,1,5,1,2,1
3,1,58,3,4,1,3,
   ,1,65,2,6,        ,3,1
1,2,55,2,3.3,2,3,        
1,2,61,1,-345.6,2,,2
2,2,65,2,               ,2,,2
   ,1,49,2,5.6,2,3,1
2,1,55,1,5.3,2,4,1
1,1,63,3,6.2,2,3,1
1,1,45,2,4.6,2,4,1
   ,1,59,2,-5.9,1,,2
5,2,48,        ,3.4,1,,2
1,1,60,3,6.3,1,3,1
3,1,56,2,6.3,2,3,1
1,1,48,1,6.4,2,4,1
1,2,65,2,3,1,2,1
3,1,60,3,6.8,1,1,1
1,2,61,2,5,1,2,        
   ,2,47,2,4,1,4,1
1,1,48,1,5.2,1,3,1
1,1,51,2,5.5,1,3,1
1,2,53,3,3,2,2,1
   ,1,50,2,5.8,2,5,1
1,1,49,2,6.3,2,2,2
5,1,59,2,5.4,2,2,1
1,1,57,1,6,2,2,2
2,1,51,3,6.7,2,2,1
1,1,49,2,5.2,2,1,1
5,1,64,2,5.6,2,2,1
2,2,65,1,4.6,2,4,
5,1,46,3,5.5,2,,2
1,1,48,1,6.1,2,2,1
2,2,56,1,5.3,1,2,2
1,1,50,2,5,1,1,1
1,1,49,3,6,1,1,1
4,1,48,2,5.7,1,1,1
2,2,55,2,115.7,1,2,1
1,1,47,3,4.6,2,2,1
2,2,45,2,75.1,1,,        
5,2,49,2,5.7,1,,2
1,1,63,1,6.3,1,,2
2,1,45,3,6.3,1,,2
1,1,46,        ,7.1,1,,1
5,1,47,1,5.2,1,,1
1,1,57,1,6.5,1,,1
5,2,48,3,               ,        ,,2
3,1,58,2,4.9,1,,2
1,1,65,3,6.2,1,,2
1,2,55,1,4,1,2,1
3,1,61,3,7.2,1,3,2
4,2,65,2,6.5,1,4,2
1,1,49,1,6.4,        ,5,2
3,2,55,3,6.8,1,3,2
1,2,63,1,5,1,3,2
1,2,45,2,5.8,1,4,1
5,1,59,3,6,1,,2
3,2,48,1,3,        ,2,1
1,2,60,1,6.7,2,1,1
   ,2,56,3,7.7,2,2,1
1,1,48,1,               ,2,,        
1,2,65,2,6.9,1,1,1
1,2,60,3,4,1,2,2
5,2,61,1,7.7,1,2,2
1,2,47,1,5.3,1,1,2
   ,1,63,3,6.7,1,2,1
5,1,64,2,4.8,1,2,1
1,2,65,        ,6.2,1,,2
1,2,46,1,6,1,,2
5,1,49,3,6.4,1,3,1
1,2,48,1,-235.8,        ,4,1
5,2,45,1,5.1,1,5,2
5,2,45,3,7.9,1,3,1
1,1,47,        ,6.4,1,,        
2,2,48,3,6.3,1,3,1
   ,1,47,1,6.1,1,4,2
5,1,54,3,               ,        ,4,2
2,2,47,2,6.3,1,5,2
1,2,51,3,               ,1,2,1
4,2,49,1,6,1,2,1
2,2,64,1,6.9,1,3,1
1,1,65,1,               ,1,,2
5,2,46,1,4.3,2,,2
5,1,49,1,               ,2,2,1
2,1,48,1,               ,2,1,1
1,2,54,3,6.7,2,2,2
2,2,47,1,5.4,2,1,1
1,2,51,1,               ,        ,,2
3,2,49,3,7,1,,2
4,2,64,2,6,1,2,1
1,1,65,3,6.2,1,3,1
3,2,46,3,6.1,1,,
1,2,47,1,5,1,3,1
1,2,57,2,5.8,1,4,1
5,1,48,3,4,1,3,2
3,2,58,1,3,1,4,2
1,2,65,1,5,1,3,1
5,1,55,2,6,1,4,1
1,2,61,        ,6.2,2,,2
1,2,65,1,               ,2,,        
5,1,49,3,6.4,2,,2
1,2,55,1,-235.8,        ,2,1
5,2,63,1,               ,1,1,1
5,2,45,3,7.9,1,2,1
1,1,59,        ,6.4,1,,        
2,2,48,3,6.3,1,,2
   ,1,60,1,6.1,1,,2
5,1,56,3,               ,        ,,2
2,2,47,2,6.3,2,,2
1,2,45,1,               ,2,1,1
4,2,49,1,6,2,1,1
2,2,63,1,6.9,1,2,1
1,1,45,1,               ,1,2,1
4,2,46,3,336.5,1,,2
2,1,47,2,6.2,1,,2
1,2,57,1,5.9,1,,2
1,1,48,3,               ,1,,2
1,2,58,2,6.9,1,,2
1,2,65,3,               ,1,2,1
5,2,55,1,7.7,1,1,2
1,2,58,3,6.3,1,2,2
2,0,48,1,5.5,1,3,2
1,2,62,2,4.5,1,3,1
2,1,65,1,3.5,1,,2
1,5,48,2,7.1,1,,2
3,1,55,3,6.1,1,,2
4,1,51,1,5.5,1,,
3,0,50,1,5.1,1,3,1
1,1,49,3,4.4,1,,2
