user_id,product_type,pay_method,price
1148,4,3.신용카드,13726 
1149,5,1.현금,74589 
1150,1,1.현금,13704 
1151,2,1.현금,13704 
1152,3,1.현금,13704 
1153,4,3.신용카드,85710 
1154,1,1.현금,84216 
1155,5,2.직불카드,11157 
1156,2,3.신용카드,11711 
1156,3,3.신용카드,12243 
1158,4,1.현금,89015 
1159,4,3.신용카드,11400 
1160,5,3.신용카드,11400 
1161,1,1.현금,4623 
1162,2,3.신용카드,83913 
1162,3,3.신용카드,78337 
1162,4,3.신용카드,78337 
1165,5,1.현금,11785 
1166,2,1.현금,14788 
1167,3,3.신용카드,82417 
1168,2,3.신용카드,74664 
1169,3,3.신용카드,74664 
1170,4,1.현금,2383 
1171,5,3.신용카드,13566 
1172,1,3.신용카드,13566 
1173,2,1.현금,92786 
1174,3,3.신용카드,74712 
1175,4,4.상품권,14546 
1176,5,1.현금,16201 
1176,2,1.현금,74583 
1176,3,1.현금,5100 
1176,4,1.현금,77112 
1180,4,1.현금,5100 
1181,5,1.현금,77112 
1182,1,3.신용카드,13542 
1183,2,3.신용카드,13542 
1184,3,3.신용카드,13542 
1185,4,1.현금,6043 
1185,1,1.현금,86493 
1185,2,1.현금,6043 
1185,1,1.현금,86493 
1189,3,3.신용카드,12112 
1190,4,1.현금,93593 
1191,3,1.현금,89360 
1192,2,1.현금,85830 
1193,4,4.상품권,14238 
1194,5,3.신용카드,4852 
1194,1,3.신용카드,2046 
1194,2,3.신용카드,2046 
1194,3,3.신용카드,98953 
1198,4,3.신용카드,98953 
1199,1,3.신용카드,98953 
1200,3,3.신용카드,14023 
1201,4,1.현금,79368 
1202,4,1.현금,2627 
1203,5,1.현금,73225 
1204,1,1.현금,73226 
1205,2,3.신용카드,76850 
1206,3,3.신용카드,76850 
1207,4,1.현금,85771 
1208,5,1.현금,85771 
1209,2,1.현금,82161 
1210,3,4.상품권,75600 
1211,2,3.신용카드,12835 
1212,3,1.현금,14298 
1213,4,3.신용카드,12835 
1214,5,1.현금,14298 
1215,1,3.신용카드,84952 
1216,2,3.신용카드,99753 
1217,3,1.현금,6432 
1218,4,1.현금,89683 
1219,5,1.현금,89683 
1220,2,3.신용카드,16928 
1221,3,3.신용카드,71587 
1222,4,1.현금,4094 
1223,4,1.현금,14341 
1224,5,3.신용카드,12439 
1225,1,3.신용카드,761 
1226,2,1.현금,17952 
1227,3,1.현금,84638 
1228,4,3.신용카드,96245 
1229,1,3.신용카드,96245 
1230,5,3.신용카드,72705 
1231,2,1.현금,7576 
1232,3,3.신용카드,4167 
1233,4,2.직불카드,98962 
1234,4,2.직불카드,98962 
1235,5,1.현금,6892 
1236,1,3.신용카드,71490 
1237,2,3.신용카드,76101 
1238,3,2.직불카드,88663 
1239,4,1.현금,69302 
1239,5,1.현금,75395 
1239,2,1.현금,10196 
1242,3,3.신용카드,88805 
1243,2,1.현금,8681 
1244,3,1.현금,8697 
1245,4,3.신용카드,78106 
1246,4,1.현금,78643 
1247,5,1.현금,78643 
1248,1,3.신용카드,2201 
1248,2,3.신용카드,2201 
1248,3,3.신용카드,84550 
1248,4,3.신용카드,6773 
1248,1,3.신용카드,83642 
1253,3,3.신용카드,6773 
1253,4,3.신용카드,83642 
1253,4,3.신용카드,6773 
1253,5,3.신용카드,83642 
1257,1,2.직불카드,94058 
1258,2,1.현금,80012 
1259,3,3.신용카드,16434 
1260,4,1.현금,339 
1261,5,1.현금,339 
1262,2,1.현금,339 
1263,3,1.현금,339 
1264,2,3.신용카드,13941 
1265,3,3.신용카드,88040 
1266,4,3.신용카드,88096 
1267,5,3.신용카드,88096 
1268,1,1.현금,14373 
1269,2,1.현금,14373 
1270,3,1.현금,71453 
1271,4,1.현금,73231 
1272,5,1.현금,71453 
1273,2,1.현금,73231 
1274,3,1.현금,14914 
1275,4,1.현금,85008 
1276,4,2.직불카드,95039 
1277,5,2.직불카드,95039 
1278,1,3.신용카드,81413 
1279,2,3.신용카드,81413 
1280,3,3.신용카드,75017 
1281,4,3.신용카드,16560 
1282,1,1.현금,73014 
1283,5,3.신용카드,96645 
1284,2,3.신용카드,92047 
1285,3,3.신용카드,92047 
1286,4,1.현금,91592 
1287,4,1.현금,91592 
1288,5,3.신용카드,92764 
1289,1,3.신용카드,100761 
1290,2,3.신용카드,79424 
1291,3,1.현금,82986 
1292,4,1.현금,13549 
1293,5,3.신용카드,82702 
1294,4,3.신용카드,71366 
1295,5,1.현금,17614 
1296,1,1.현금,89974 
1297,2,1.현금,80840 
1298,3,1.현금,80840 
1299,4,1.현금,84099 
1300,1,3.신용카드,96265 
1300,3,3.신용카드,96265 
1300,4,3.신용카드,78701 
1300,4,3.신용카드,94478 
1300,5,3.신용카드,94478 
1305,1,3.신용카드,10012 
1305,2,3.신용카드,99918 
1305,3,3.신용카드,10012 
1305,4,3.신용카드,99918 
1305,5,3.신용카드,17360 
1305,2,3.신용카드,100328 
1305,3,3.신용카드,14815 
1305,2,3.신용카드,100328 
1313,3,1.현금,78827 
1314,4,3.신용카드,8977 
1314,5,3.신용카드,16936 
1314,1,3.신용카드,73585 
1314,2,3.신용카드,81364 
1318,3,1.현금,9019 
1319,4,3.신용카드,77563 
1320,5,3.신용카드,77563 
1321,4,1.현금,11414 
1322,5,1.현금,11414 
1323,1,1.현금,11414 
1324,2,3.신용카드,16399 
1325,3,3.신용카드,74516 
1326,4,3.신용카드,5574 
1327,1,1.현금,87614 
1328,3,3.신용카드,92707 
1329,4,1.현금,2971 
1330,4,3.신용카드,16434 
1330,5,3.신용카드,4213 
1330,1,3.신용카드,93547 
1333,2,1.현금,4172 
1334,3,3.신용카드,15614 
1335,4,1.현금,15256 
1336,5,3.신용카드,66422 
1337,2,1.현금,67717 
1338,3,3.신용카드,65847 
1339,2,2.직불카드,98835 
1340,3,3.신용카드,77217 
1341,4,1.현금,76418 
1342,5,1.현금,83633 
1343,1,1.현금,5676 
1344,2,3.신용카드,2547 
1345,3,1.현금,87932 
1346,4,3.신용카드,12755 
1347,5,3.신용카드,12755 
1348,2,1.현금,15682 
1349,3,3.신용카드,19355 
1350,4,2.직불카드,16857 
1351,4,1.현금,5247 
1352,5,1.현금,89665 
1353,1,1.현금,89665 
1354,4,1.현금,89665 
1355,5,1.현금,82261 
1356,1,3.신용카드,78106 
1357,2,3.신용카드,79075 
1358,3,3.신용카드,79075 
1359,4,1.현금,8320 
1360,1,3.신용카드,88873 
1361,3,3.신용카드,11440 
1362,4,3.신용카드,84401 
1363,4,3.신용카드,84401 
1364,5,3.신용카드,16063 
1365,1,1.현금,96229 
1366,2,1.현금,86953 
1367,3,1.현금,86953 
1368,4,3.신용카드,77859 
1369,5,1.현금,78758 
1370,2,1.현금,78758 
1371,3,3.신용카드,10937 
1372,2,3.신용카드,10937 
1373,3,3.신용카드,96691 
1374,4,3.신용카드,96691 
1375,5,1.현금,16309 
1376,1,1.현금,2971 
1376,2,1.현금,77371 
1378,3,3.신용카드,12289 
1378,4,3.신용카드,2781 
1378,5,3.신용카드,87731 
1381,2,1.현금,3896 
1382,3,3.신용카드,6933 
1382,4,3.신용카드,14131 
1384,4,1.현금,89455 
1384,5,1.현금,89455 
1384,1,1.현금,96071 
1384,2,1.현금,96071 
1388,3,1.현금,99530 
1388,4,1.현금,99530 
1388,1,1.현금,99530 
1391,5,3.신용카드,70099 
1392,4,3.신용카드,82179 
1393,5,1.현금,73369 
1394,1,3.신용카드,87900 
1395,2,1.현금,14392 
1395,3,1.현금,69235 
1395,4,1.현금,86474 
1398,1,3.신용카드,68672 
1398,3,3.신용카드,101700 
1398,4,3.신용카드,150000 
