id, tenure, age, marital, address, income, ed, employ, gender, reside, longmon, tollmon, wiremon, longten, tollten, wireten, ebill, churn
95, 3, 20, 1, 1, 17, 2, 0, 1, 4, 3.75, 0, 0, 12.3, 0, 0, 1, 1
96, 17, 33, 0, 9, 23, 5, 3, 0, 1, 10.2, 0, 30.9, 196.3, 0, 529.25, 1, 1
97, 55, 53, 1, 21, 34, 1, 8, 0, 2, 5.7, 0, 0, 304.4, 0, 0, 0, 0
98, 43, 36, 1, 5, 107, 1, 19, 1, 3, 11.55, 12.75, 0, 491.55, 583.75, 0, 0, 1
99, 47, 25, 1, 5, 21, 1, 1, 1, 2, 8.65, 30.5, 0, 426.6, 1465.45, 0, 0, 1
100, 65, 58, 0, 30, 83, 2, 16, 1, 1, 19.3, 0, 0, 1323.2, 0, 0, 0, 0
101, 13, 20, 0, 1, 17, 3, 0, 0, 5, 3.05, 0, 0, 40.3, 0, 0, 1, 0
102, 64, 25, 1, 4, 76, 3, 2, 1, 6, 24.05, 0, 0, 1536.55, 0, 0, 1, 0
103, 12, 24, 0, 2, 19, 1, 0, 0, 1, 4, 24.75, 0, 46, 299, 0, 0, 1
104, 29, 32, 1, 0, 49, 4, 3, 1, 3, 6.7, 0, 0, 187, 0, 0, 1, 1
105, 23, 47, 0, 21, 173, 3, 22, 1, 1, 7.6, 0, 0, 145.9, 0, 0, 1, 0
106, 14, 35, 0, 4, 47, 3, 10, 1, 1, 5, 21.75, 24.15, 76.2, 318.2, 274, 1, 1
107, 35, 61, 0, 23, 41, 2, 11, 0, 1, 9.6, 0, 0, 353.55, 0, 0, 0, 0
108, 26, 39, 0, 8, 105, 3, 13, 1, 1, 6.6, 39.75, 38.25, 159.7, 1022.45, 885.1, 1, 0
109, 13, 54, 0, 2, 31, 4, 2, 0, 1, 5.85, 0, 0, 97, 0, 0, 1, 0
110, 69, 40, 1, 13, 41, 2, 17, 0, 3, 25.25, 0, 0, 1725.1, 0, 0, 0, 0
111, 61, 50, 1, 30, 102, 4, 9, 1, 3, 12.6, 0, 0, 760.3, 0, 0, 1, 0
112, 45, 22, 1, 2, 36, 4, 0, 1, 5, 9.95, 14.75, 0, 412.1, 663.1, 0, 0, 1
113, 3, 37, 0, 13, 24, 1, 3, 1, 1, 2, 0, 0, 3.05, 0, 0, 1, 0
114, 53, 22, 0, 1, 25, 4, 0, 0, 2, 12.05, 0, 0, 666, 0, 0, 1, 0
115, 59, 42, 0, 1, 68, 2, 21, 1, 1, 17.3, 21.25, 0, 997.85, 1183.55, 0, 0, 0
116, 13, 34, 0, 11, 20, 3, 0, 1, 1, 4.8, 0, 0, 71.05, 0, 0, 0, 0
117, 31, 31, 0, 4, 48, 1, 15, 0, 1, 3.8, 0, 0, 127.7, 0, 0, 0, 0
118, 40, 29, 1, 6, 40, 2, 8, 1, 5, 13, 0, 0, 502.95, 0, 0, 0, 0
119, 48, 55, 0, 15, 79, 1, 25, 0, 1, 13.8, 0, 0, 668.65, 0, 0, 0, 0
120, 3, 31, 0, 1, 28, 1, 0, 0, 1, 3.45, 15.5, 0, 13.3, 48.75, 0, 0, 1
121, 51, 48, 0, 12, 64, 2, 22, 1, 1, 14.8, 0, 0, 708.45, 0, 0, 0, 0
122, 33, 41, 0, 15, 37, 2, 11, 0, 1, 12.2, 0, 0, 415.05, 0, 0, 0, 0
123, 14, 47, 1, 7, 48, 1, 13, 0, 2, 4.25, 11, 0, 55.5, 126.45, 0, 0, 0
124, 17, 42, 1, 6, 131, 5, 6, 0, 3, 5.8, 0, 21.65, 103.1, 0, 331.4, 1, 1
125, 19, 29, 1, 9, 18, 2, 2, 0, 3, 5.4, 0, 0, 108.5, 0, 0, 1, 1
126, 58, 36, 0, 10, 38, 2, 14, 1, 1, 10.15, 0, 0, 538.65, 0, 0, 0, 0
127, 22, 23, 0, 3, 37, 2, 4, 1, 3, 5.35, 0, 24.7, 144.05, 0, 503.5, 1, 0
128, 29, 31, 1, 1, 60, 4, 6, 0, 5, 9.6, 0, 0, 243.9, 0, 0, 1, 1
129, 14, 22, 1, 2, 13, 3, 0, 1, 4, 9.45, 0, 0, 117.55, 0, 0, 0, 1
130, 70, 64, 1, 18, 98, 1, 31, 1, 2, 26.15, 84, 45.45, 1805.1, 5850.25, 3243.25, 0, 0
131, 62, 52, 1, 2, 195, 1, 23, 0, 2, 23.15, 36.75, 34.3, 1420.95, 2308.25, 2082.8, 0, 1
132, 7, 35, 1, 0, 47, 1, 14, 0, 5, 5.2, 0, 0, 46.9, 0, 0, 0, 1
133, 56, 47, 1, 19, 65, 2, 22, 0, 3, 12.4, 48.75, 58.4, 744.45, 2695.95, 3084.2, 0, 0
134, 50, 50, 1, 22, 150, 5, 5, 1, 4, 19.3, 0, 0, 930.8, 0, 0, 1, 1
135, 57, 39, 0, 6, 106, 5, 8, 0, 1, 9.05, 24.25, 39.6, 568.15, 1486.35, 2183.95, 0, 0
136, 2, 40, 0, 19, 51, 4, 14, 1, 1, 4.25, 0, 0, 6.8, 0, 0, 1, 0
137, 40, 38, 0, 17, 96, 4, 0, 1, 1, 9.3, 0, 0, 316.05, 0, 0, 0, 0
138, 6, 43, 0, 4, 33, 5, 7, 0, 2, 4.25, 0, 26.75, 30, 0, 146.55, 0, 0
139, 23, 25, 1, 6, 38, 2, 1, 1, 3, 13.9, 23.25, 0, 255, 574.85, 0, 0, 0
140, 11, 32, 0, 6, 125, 4, 5, 0, 1, 3.8, 19.25, 58.25, 31.75, 233.4, 577.7, 1, 1
141, 29, 37, 1, 13, 145, 5, 0, 1, 4, 8.6, 24, 28, 241.45, 713.45, 722.8, 0, 0
142, 42, 44, 1, 2, 99, 2, 21, 0, 3, 22.05, 34.75, 0, 841.55, 1501.55, 0, 0, 0
143, 20, 34, 1, 2, 22, 4, 0, 1, 3, 4.85, 18.25, 31.65, 75.45, 338.55, 570.65, 1, 0
144, 72, 60, 1, 21, 31, 1, 38, 0, 2, 32.25, 0, 0, 2349.25, 0, 0, 0, 0
145, 2, 36, 0, 3, 25, 1, 6, 1, 1, 1.9, 15.75, 24.15, 3.6, 23.05, 20.95, 0, 0
146, 46, 25, 0, 5, 57, 5, 0, 1, 2, 20.25, 21.25, 28.35, 923.95, 968.95, 1246.45, 1, 0
147, 39, 51, 1, 21, 41, 5, 20, 0, 6, 12.1, 20.5, 35.35, 492.8, 910.25, 1301.1, 1, 0
148, 24, 25, 1, 1, 20, 3, 1, 1, 2, 8.15, 0, 0, 209.35, 0, 0, 0, 1
149, 59, 43, 1, 4, 101, 2, 22, 1, 5, 13.65, 0, 0, 817.65, 0, 0, 0, 0
150, 65, 37, 0, 8, 56, 2, 15, 0, 1, 10.25, 0, 0, 681.95, 0, 0, 0, 0
151, 50, 27, 1, 5, 22, 2, 5, 1, 3, 17.2, 0, 0, 893.3, 0, 0, 0, 0
152, 57, 37, 0, 11, 108, 4, 9, 1, 1, 21.8, 27.25, 0, 1292, 1492.1, 0, 0, 0
153, 61, 48, 0, 14, 115, 4, 20, 1, 1, 12.8, 16, 31, 785.7, 953.95, 1799.15, 1, 0
154, 34, 54, 0, 31, 53, 4, 22, 0, 1, 8.1, 18, 66.9, 225.4, 588.4, 2304.8, 1, 0
155, 38, 53, 0, 13, 242, 4, 12, 0, 1, 8.95, 37.75, 50.75, 396.35, 1556.4, 1934.9, 1, 0
156, 3, 24, 1, 2, 20, 2, 3, 1, 5, 3.35, 22.5, 0, 7.55, 49.55, 0, 0, 0
157, 4, 47, 0, 5, 123, 4, 11, 0, 1, 2.5, 0, 0, 9.25, 0, 0, 1, 0
158, 15, 35, 0, 0, 34, 1, 12, 0, 1, 3.95, 0, 0, 47.95, 0, 0, 0, 0
159, 25, 29, 1, 8, 31, 4, 3, 1, 5, 12.95, 0, 0, 348.9, 0, 0, 1, 1
160, 21, 44, 0, 25, 47, 1, 12, 1, 2, 7.05, 0, 0, 182.3, 0, 0, 0, 0
161, 50, 37, 1, 11, 48, 3, 8, 1, 2, 12.9, 27.75, 0, 669.75, 1445.15, 0, 0, 0
162, 65, 64, 1, 22, 13, 2, 5, 1, 3, 14.6, 33, 0, 921.7, 1990.2, 0, 0, 0
163, 59, 52, 1, 18, 78, 1, 25, 0, 2, 18.6, 0, 0, 1179.05, 0, 0, 0, 0
164, 29, 26, 0, 7, 34, 1, 7, 1, 2, 6.5, 0, 0, 198.7, 0, 0, 0, 0
165, 60, 46, 0, 17, 81, 5, 9, 1, 1, 17.45, 0, 0, 1067, 0, 0, 1, 0
166, 71, 45, 1, 14, 86, 2, 25, 0, 2, 45.05, 0, 0, 3235.9, 0, 0, 0, 0
167, 38, 27, 1, 0, 26, 4, 2, 0, 4, 12.2, 0, 28.05, 477.5, 0, 1111, 1, 1
168, 16, 34, 1, 5, 51, 2, 8, 1, 5, 4.7, 0, 0, 61.5, 0, 0, 0, 0
169, 7, 31, 0, 10, 59, 3, 10, 0, 1, 2.45, 0, 0, 16.35, 0, 0, 1, 0
170, 59, 53, 0, 21, 112, 4, 16, 0, 1, 21.1, 0, 25.3, 1236.3, 0, 1465.35, 1, 1
171, 22, 56, 1, 14, 57, 4, 28, 0, 2, 6.2, 18.25, 28.8, 135.2, 417.55, 649.6, 0, 0
172, 18, 48, 1, 20, 41, 1, 2, 1, 2, 4.35, 13, 0, 59.15, 220.95, 0, 0, 0
173, 64, 46, 1, 19, 168, 2, 26, 1, 2, 14.2, 71, 62.45, 928.8, 4667.75, 3704.05, 1, 0
174, 7, 33, 0, 4, 29, 4, 4, 1, 3, 4.65, 0, 0, 35.45, 0, 0, 1, 1
175, 65, 58, 0, 13, 167, 2, 14, 1, 2, 24.3, 0, 0, 1642.35, 0, 0, 0, 0
176, 7, 24, 0, 5, 29, 2, 3, 0, 3, 4.45, 13.5, 0, 43.7, 109.5, 0, 0, 1
177, 64, 55, 0, 28, 104, 1, 26, 1, 1, 15, 0, 0, 960.95, 0, 0, 0, 0
178, 42, 22, 1, 0, 46, 4, 0, 0, 2, 9.35, 20.25, 36, 311.85, 850.65, 1503.65, 0, 1
179, 33, 26, 0, 5, 46, 4, 1, 1, 3, 11, 17.5, 32.05, 350.05, 593.1, 1009.5, 1, 0
180, 3, 33, 0, 8, 51, 4, 0, 1, 1, 2.9, 0, 0, 12.05, 0, 0, 0, 1
181, 69, 42, 1, 11, 65, 2, 18, 0, 2, 14.2, 30.5, 66.55, 1007.5, 2082.75, 4399.6, 1, 0
182, 9, 33, 0, 1, 48, 2, 13, 0, 2, 3.15, 13.25, 0, 39.75, 110.05, 0, 0, 0
183, 22, 34, 1, 1, 46, 3, 1, 0, 4, 7.1, 0, 0, 125.05, 0, 0, 0, 0
184, 53, 63, 1, 15, 43, 2, 18, 0, 2, 14.85, 0, 0, 808.95, 0, 0, 1, 0
185, 71, 53, 0, 30, 110, 1, 34, 0, 1, 17.45, 0, 0, 1249.8, 0, 0, 0, 0
186, 24, 26, 0, 2, 32, 3, 2, 0, 3, 4.25, 0, 0, 97.35, 0, 0, 1, 0
187, 12, 22, 1, 1, 18, 3, 0, 1, 2, 4.65, 0, 0, 57.7, 0, 0, 1, 0
188, 25, 39, 1, 1, 26, 4, 0, 0, 4, 14.45, 0, 24.75, 349.9, 0, 640.8, 1, 1
189, 63, 28, 1, 9, 34, 2, 10, 1, 6, 15, 40, 45.1, 934.05, 2465.4, 2770.35, 0, 0
190, 33, 54, 1, 18, 57, 4, 4, 1, 3, 7.5, 30.25, 0, 226.25, 1105.75, 0, 0, 1
191, 57, 54, 1, 20, 21, 2, 0, 1, 3, 10.6, 0, 0, 565.55, 0, 0, 0, 0
192, 13, 33, 0, 7, 38, 3, 10, 1, 1, 5.05, 18.5, 28.85, 48.6, 199.5, 318.9, 1, 0
193, 13, 21, 0, 2, 19, 3, 0, 1, 1, 7.9, 0, 0, 98.35, 0, 0, 0, 1
194, 71, 39, 0, 2, 40, 3, 17, 0, 1, 36.25, 27.75, 0, 2553.7, 1916.25, 0, 0, 0
195, 18, 69, 1, 11, 58, 3, 8, 0, 2, 6.35, 27.25, 63, 118.05, 454.05, 1049.95, 1, 0
196, 17, 51, 1, 10, 95, 2, 15, 1, 2, 7.45, 0, 0, 132.9, 0, 0, 0, 1
197, 22, 43, 0, 4, 114, 2, 19, 0, 1, 9.25, 0, 0, 202.8, 0, 0, 0, 0
198, 65, 65, 1, 27, 128, 3, 24, 0, 2, 21.2, 24, 0, 1325.05, 1483.55, 0, 0, 0
199, 7, 40, 0, 9, 33, 4, 2, 1, 1, 2.8, 0, 0, 16.85, 0, 0, 1, 0
200, 72, 66, 0, 30, 460, 4, 41, 1, 1, 89.4, 0, 0, 6353.9, 0, 0, 0, 0
201, 35, 43, 0, 12, 224, 3, 17, 0, 1, 7.7, 0, 0, 271.55, 0, 0, 0, 0
202, 24, 39, 0, 2, 122, 4, 12, 0, 3, 4.45, 26.25, 35.9, 98.35, 625.95, 844.95, 0, 0
203, 64, 24, 1, 0, 23, 3, 1, 1, 5, 7, 0, 0, 394.6, 0, 0, 0, 0
204, 63, 63, 1, 19, 191, 3, 27, 0, 2, 12.7, 0, 0, 782.45, 0, 0, 0, 0
205, 38, 31, 1, 7, 187, 4, 6, 0, 3, 12.65, 21.25, 47.85, 448.75, 834, 1801.75, 0, 1
206, 29, 37, 1, 9, 119, 3, 12, 0, 3, 4.6, 0, 0, 138.7, 0, 0, 0, 0
207, 72, 69, 1, 49, 44, 2, 44, 1, 2, 99.95, 0, 0, 7257.6, 0, 0, 0, 0
208, 10, 27, 1, 2, 15, 3, 2, 1, 2, 7.5, 12.75, 39.5, 66.45, 154.9, 377.35, 1, 1
209, 72, 64, 0, 41, 674, 4, 37, 1, 1, 49.6, 32.75, 60.15, 3535.8, 2378.15, 4366.2, 0, 0
210, 52, 23, 1, 4, 33, 4, 0, 1, 2, 13.1, 18.25, 0, 757.8, 945.15, 0, 0, 0
211, 13, 55, 0, 3, 250, 2, 35, 1, 2, 4.1, 0, 0, 50.1, 0, 0, 0, 0
212, 3, 33, 0, 6, 64, 4, 0, 0, 2, 2.15, 0, 0, 6, 0, 0, 1, 1
213, 39, 24, 1, 2, 26, 2, 4, 0, 4, 10.4, 0, 0, 403.5, 0, 0, 1, 1
214, 28, 29, 0, 4, 23, 3, 5, 0, 2, 3.7, 0, 0, 91.95, 0, 0, 1, 0
215, 46, 42, 0, 9, 52, 4, 7, 0, 3, 14.25, 0, 0, 611.65, 0, 0, 0, 0
216, 62, 46, 0, 27, 200, 3, 9, 1, 1, 26.25, 0, 0, 1625.35, 0, 0, 0, 0
217, 23, 33, 1, 7, 28, 1, 4, 0, 2, 6.9, 0, 0, 177.4, 0, 0, 0, 0
218, 23, 25, 1, 5, 19, 5, 0, 0, 3, 6.95, 25, 0, 157.1, 562.2, 0, 1, 1
219, 72, 61, 1, 39, 76, 3, 21, 0, 2, 54.8, 67.25, 55.5, 3983.6, 4905.85, 4097.7, 0, 0
220, 56, 60, 0, 26, 70, 2, 20, 0, 1, 7.75, 0, 26.15, 397.15, 0, 1340.75, 1, 0
221, 8, 30, 0, 1, 34, 2, 9, 1, 1, 4.25, 0, 0, 28.65, 0, 0, 0, 0
222, 3, 36, 0, 7, 34, 5, 3, 1, 3, 2.7, 13, 0, 7, 35.65, 0, 1, 0
223, 37, 37, 0, 7, 172, 3, 13, 0, 1, 6.85, 0, 0, 258.5, 0, 0, 1, 0
224, 37, 53, 1, 13, 48, 1, 10, 0, 3, 12.55, 23.5, 0, 439.55, 876.05, 0, 0, 0
225, 6, 30, 0, 9, 45, 2, 2, 1, 1, 1.35, 0, 0, 9.95, 0, 0, 0, 1
226, 48, 47, 0, 9, 72, 3, 13, 0, 5, 15.3, 28.5, 32.55, 732.35, 1352.1, 1559.1, 0, 1
227, 43, 43, 1, 3, 55, 4, 18, 1, 4, 9.1, 40.75, 50.6, 422.7, 1802.5, 2244.8, 0, 0
228, 21, 29, 0, 7, 40, 4, 2, 1, 4, 4.5, 17, 33.4, 89.1, 386.8, 653.9, 0, 0
229, 6, 33, 0, 12, 26, 3, 0, 0, 1, 6.1, 18.75, 22.8, 35.1, 131.1, 121.75, 0, 1
230, 69, 51, 0, 18, 96, 1, 33, 0, 4, 33.95, 87, 0, 2338.8, 5916, 0, 0, 0
231, 22, 33, 0, 9, 54, 1, 10, 0, 1, 11.05, 22.25, 0, 246.7, 504.4, 0, 0, 0
