ID, Age, Experience, Income, Family, CCAvg, Mortgage, Response
4944, 26, 0, 12, 1, 0.1, 0, No
4943, 52, 26, 109, 1, 2.4, 308, No
4942, 28, 4, 112, 2, 1.6, 0, Yes
4941, 46, 22, 19, 3, 0.5, 0, No
4940, 54, 29, 70, 3, 2.0, 116, No
4939, 61, 35, 80, 4, 1.7, 0, No
4938, 33, 8, 162, 1, 8.6, 0, No
4937, 45, 20, 94, 3, 0.5, 0, No
4936, 59, 33, 81, 2, 1.4, 0, No
4935, 26, 0, 85, 2, 1.6, 0, No
4934, 47, 23, 94, 1, 4.7, 0, No
4933, 59, 35, 111, 1, 4.3, 0, No
4932, 57, 27, 55, 1, 1.4, 0, No
4931, 63, 38, 110, 3, 1.8, 109, No
4930, 62, 36, 39, 2, 0.3, 0, No
4929, 57, 33, 28, 1, 1.2, 98, No
4928, 43, 19, 121, 1, 0.7, 0, Yes
4927, 37, 13, 83, 2, 1.7, 0, No
4926, 64, 39, 82, 4, 3.4, 0, No
4925, 36, 12, 89, 2, 2.7, 0, No
4924, 40, 15, 73, 3, 3.0, 0, No
4923, 31, 5, 28, 1, 0.3, 0, No
4922, 37, 11, 42, 3, 0.5, 0, No
4921, 42, 16, 28, 4, 1.5, 91, No
4920, 41, 16, 68, 3, 3.0, 0, No
4919, 50, 25, 42, 2, 0.7, 110, No
4918, 36, 10, 33, 4, 1.2, 82, No
4917, 29, 5, 123, 2, 0.6, 0, No
4916, 49, 24, 48, 1, 1.3, 0, No
4915, 65, 39, 94, 1, 2.0, 0, No
4914, 30, 4, 110, 1, 2.9, 0, No
4913, 51, 26, 28, 1, 1.3, 94, No
4912, 46, 22, 153, 2, 7.5, 0, No
4911, 48, 22, 120, 1, 0.0, 0, No
4910, 41, 16, 25, 2, 0.1, 0, No
4909, 40, 16, 138, 2, 6.1, 0, No
4908, 34, 9, 101, 3, 0.6, 0, No
4907, 54, 28, 49, 1, 2.2, 128, No
4906, 62, 37, 19, 3, 0.5, 89, No
4905, 64, 40, 88, 1, 3.8, 243, No
4904, 40, 15, 18, 2, 0.1, 119, No
4903, 33, 8, 58, 2, 2.5, 0, No
4902, 26, 0, 54, 3, 1.1, 0, No
4901, 26, 1, 74, 4, 2.2, 0, No
4900, 54, 29, 85, 4, 1.3, 299, No
4899, 52, 26, 19, 1, 1.4, 96, No
4898, 43, 18, 44, 1, 2.4, 0, No
4897, 40, 15, 81, 2, 0.4, 0, No
4896, 45, 20, 201, 2, 2.8, 0, No
4895, 48, 22, 74, 1, 1.4, 0, No
4894, 42, 12, 39, 3, 2.0, 0, No
4893, 43, 19, 35, 1, 0.3, 120, No
4892, 56, 31, 61, 4, 0.9, 0, No
4891, 61, 35, 51, 3, 1.4, 0, No
4890, 58, 28, 58, 3, 2.0, 0, No
4889, 25, 1, 121, 1, 5.4, 158, No
4888, 41, 15, 49, 3, 0.9, 0, No
4887, 51, 26, 64, 4, 1.8, 0, No
4886, 54, 30, 28, 2, 0.8, 0, No
4885, 60, 34, 50, 3, 2.2, 0, No
4884, 38, 13, 129, 3, 4.1, 0, Yes
4883, 43, 19, 73, 3, 2.3, 0, No
4882, 57, 32, 24, 2, 0.2, 140, No
4881, 56, 32, 79, 3, 2.7, 0, No
4880, 40, 15, 43, 4, 1.7, 98, No
4879, 34, 9, 41, 1, 1.0, 0, No
4878, 53, 29, 53, 4, 0.1, 0, No
4877, 44, 19, 142, 1, 1.5, 0, Yes
4876, 61, 36, 54, 3, 1.5, 0, No
4875, 26, 0, 75, 3, 0.3, 0, No
4874, 59, 35, 165, 2, 6.0, 0, No
4873, 27, 3, 69, 3, 0.7, 0, No
4872, 46, 22, 53, 4, 1.9, 187, No
4871, 55, 30, 28, 2, 2.0, 0, No
4870, 63, 39, 33, 3, 0.1, 0, No
4869, 51, 27, 62, 2, 3.2, 118, No
4868, 38, 12, 61, 4, 0.2, 0, No
4867, 41, 17, 71, 2, 3.2, 0, No
4866, 50, 24, 133, 4, 1.4, 342, Yes
4865, 41, 16, 52, 2, 2.2, 0, No
4864, 61, 35, 25, 1, 0.8, 142, No
4863, 33, 7, 44, 1, 0.3, 0, No
4862, 49, 24, 18, 1, 0.4, 121, No
4861, 51, 25, 34, 3, 0.6, 128, No
4860, 34, 8, 165, 1, 7.0, 541, Yes
4859, 50, 24, 62, 2, 0.8, 0, No
4858, 37, 13, 115, 1, 0.8, 0, No
4857, 56, 31, 80, 4, 1.3, 0, No
4856, 58, 32, 130, 2, 2.7, 0, No
4855, 44, 20, 105, 1, 4.7, 0, No
4854, 45, 19, 41, 1, 0.2, 0, No
4853, 38, 12, 33, 4, 1.5, 0, No
4852, 55, 31, 124, 2, 0.3, 0, No
4851, 63, 39, 119, 1, 2.9, 0, No
4850, 49, 25, 65, 2, 1.0, 0, No
4849, 58, 32, 145, 2, 0.5, 119, No
4848, 37, 11, 65, 2, 2.4, 260, No
4847, 35, 10, 135, 3, 4.8, 0, Yes
4846, 45, 21, 128, 1, 4.7, 0, No
4845, 31, 6, 81, 2, 2.5, 313, No
4844, 61, 34, 41, 4, 2.5, 0, No
4843, 49, 23, 174, 3, 4.6, 590, Yes
4842, 59, 35, 40, 4, 0.4, 135, No
4841, 33, 9, 18, 4, 0.4, 0, No
4840, 34, 8, 52, 4, 0.2, 0, No
4839, 56, 30, 44, 4, 2.5, 0, No
4838, 36, 10, 183, 2, 0.0, 0, No
4837, 54, 24, 72, 3, 1.4, 218, No
4836, 65, 39, 25, 2, 0.4, 113, No
4835, 49, 23, 70, 1, 0.3, 217, No
4834, 49, 24, 109, 1, 0.6, 0, No
4833, 29, 4, 83, 4, 2.2, 0, No
4832, 30, 6, 42, 1, 2.1, 144, No
4831, 37, 12, 60, 4, 2.1, 217, No
4830, 31, 7, 11, 1, 0.5, 80, No
4829, 52, 28, 62, 1, 1.8, 0, No
4828, 30, 6, 181, 1, 4.3, 230, No
4827, 56, 31, 81, 2, 0.0, 225, No
4826, 56, 32, 84, 2, 1.6, 0, No
4825, 32, 6, 25, 3, 1.0, 0, No
4824, 46, 21, 115, 2, 4.2, 0, Yes
4823, 60, 36, 149, 1, 4.7, 0, No
4822, 30, 6, 62, 1, 0.1, 0, No
4821, 42, 17, 44, 1, 0.3, 0, No
4820, 32, 6, 41, 3, 0.9, 179, No
4819, 45, 19, 85, 2, 1.7, 0, No
4818, 46, 22, 134, 2, 3.3, 0, No
4817, 50, 24, 83, 3, 3.0, 0, No
4816, 58, 32, 99, 2, 1.4, 0, No
4815, 60, 34, 41, 3, 2.2, 0, No
4814, 49, 23, 60, 3, 0.7, 142, No
4813, 29, 4, 184, 4, 2.2, 612, Yes
4812, 36, 12, 123, 2, 3.0, 0, Yes
4811, 58, 34, 11, 2, 0.3, 96, No
4810, 43, 19, 32, 3, 0.6, 0, No
4809, 42, 16, 32, 3, 0.5, 0, No
4808, 40, 14, 53, 1, 2.0, 0, No
4807, 62, 37, 39, 3, 1.5, 0, No
4806, 30, 6, 160, 1, 4.3, 249, No
4805, 58, 32, 40, 1, 2.8, 0, No
4804, 48, 24, 48, 2, 2.1, 0, No
4803, 35, 11, 58, 3, 2.8, 0, No
4802, 34, 10, 88, 2, 0.0, 121, No
4801, 33, 7, 73, 1, 2.5, 135, No
4800, 44, 20, 33, 4, 0.3, 142, No
4799, 44, 20, 62, 3, 0.3, 0, No
4798, 37, 11, 24, 4, 1.0, 0, No
4797, 26, 0, 42, 4, 1.3, 0, No
4796, 46, 21, 39, 2, 1.3, 101, No
4795, 56, 30, 29, 4, 1.5, 146, No
4794, 45, 21, 59, 2, 2.5, 155, No
4793, 36, 10, 28, 4, 1.0, 130, No
4792, 59, 35, 43, 4, 0.4, 0, No
4791, 35, 11, 101, 3, 3.8, 150, Yes
4790, 58, 34, 84, 4, 1.6, 0, No
4789, 36, 10, 39, 1, 2.0, 153, No
4788, 48, 22, 42, 3, 0.6, 121, No
4787, 36, 12, 18, 4, 1.0, 0, No
4786, 30, 5, 23, 2, 0.9, 0, No
4785, 52, 28, 9, 2, 0.2, 0, No
4784, 43, 19, 32, 4, 0.3, 0, No
4783, 26, 0, 150, 2, 7.2, 0, No
4782, 35, 9, 25, 3, 0.1, 0, No
4781, 47, 20, 49, 3, 2.5, 0, No
4780, 39, 14, 20, 1, 0.6, 0, No
4779, 52, 27, 22, 4, 0.8, 0, No
4778, 32, 8, 30, 4, 0.4, 78, No
4777, 47, 23, 40, 2, 2.1, 156, No
4776, 44, 14, 33, 1, 0.8, 171, No
4775, 56, 32, 22, 1, 1.2, 0, No
4774, 53, 28, 48, 2, 1.9, 0, No
4773, 26, 2, 95, 3, 0.8, 0, No
4772, 36, 11, 85, 3, 1.2, 0, No
4771, 35, 5, 93, 4, 1.8, 0, No
4770, 26, 2, 20, 4, 1.0, 116, No
4769, 38, 14, 39, 1, 2.0, 0, No
4768, 35, 9, 45, 3, 0.9, 101, No
4767, 41, 15, 54, 3, 2.1, 0, No
4766, 58, 34, 82, 1, 4.3, 263, No
4765, 56, 32, 88, 4, 1.0, 0, No
4764, 51, 25, 173, 1, 0.5, 0, Yes
4763, 37, 7, 94, 4, 1.8, 232, No
4762, 61, 35, 74, 2, 0.7, 0, No
4761, 50, 25, 18, 2, 0.0, 0, No
4760, 66, 41, 80, 4, 0.1, 0, No
4759, 46, 21, 40, 1, 0.3, 116, No
4758, 26, 2, 135, 1, 1.5, 0, No
4757, 30, 4, 78, 4, 2.2, 236, No
4756, 59, 35, 151, 2, 6.0, 0, No
4755, 57, 33, 93, 2, 1.6, 161, No
4754, 46, 21, 85, 1, 0.2, 0, No
4753, 39, 14, 178, 1, 4.1, 207, No
4752, 41, 17, 154, 1, 1.7, 0, No
4751, 66, 41, 38, 1, 1.1, 0, No
4750, 31, 5, 21, 3, 1.0, 0, No
4749, 43, 18, 38, 1, 0.5, 144, No
4748, 49, 25, 91, 4, 1.4, 0, No
4747, 31, 7, 18, 1, 0.4, 0, No
4746, 49, 23, 129, 1, 0.3, 0, No
4745, 44, 20, 72, 3, 0.3, 0, No
4744, 50, 26, 21, 1, 0.2, 0, No
4743, 58, 33, 25, 4, 0.9, 90, No
4742, 58, 32, 55, 4, 2.5, 0, No
4741, 56, 30, 178, 1, 2.9, 0, No
4740, 62, 38, 174, 1, 4.7, 0, No
4739, 56, 32, 44, 3, 1.5, 153, No
4738, 61, 36, 85, 3, 1.8, 0, No
4737, 51, 25, 65, 3, 0.7, 0, No
4736, 34, 9, 84, 4, 2.2, 323, No
4735, 63, 39, 64, 1, 1.8, 147, No
4734, 49, 23, 121, 1, 4.9, 0, No
4733, 39, 13, 69, 3, 0.1, 247, No
4732, 37, 11, 29, 2, 1.4, 0, No
4731, 52, 27, 29, 1, 1.5, 159, No
4730, 40, 14, 18, 4, 1.5, 0, No
4729, 59, 35, 31, 3, 0.4, 0, No
4728, 41, 17, 58, 4, 2.7, 0, No
4727, 34, 10, 38, 1, 1.3, 0, No
4726, 34, 8, 75, 2, 1.8, 0, No
4725, 34, 8, 21, 4, 1.0, 0, No
4724, 39, 15, 125, 1, 3.5, 0, No
4723, 40, 16, 63, 1, 1.5, 0, No
4722, 52, 26, 70, 2, 1.1, 0, No
4721, 41, 15, 88, 1, 2.8, 0, No
4720, 32, 8, 140, 4, 6.6, 0, Yes
4719, 32, 6, 35, 3, 1.0, 0, No
4718, 29, 5, 121, 1, 1.5, 0, No
4717, 60, 34, 83, 2, 1.4, 75, No
4716, 65, 39, 35, 1, 0.5, 150, No
4715, 27, 3, 81, 3, 1.5, 307, No
4714, 25, 1, 122, 2, 0.2, 0, No
4713, 25, 0, 14, 2, 0.9, 0, No
4712, 65, 40, 59, 3, 2.4, 0, No
4711, 41, 17, 71, 3, 0.3, 0, No
4710, 26, 1, 35, 2, 1.7, 119, No
4709, 62, 37, 10, 3, 0.5, 0, No
4708, 59, 35, 91, 2, 1.6, 0, No
4707, 60, 36, 8, 2, 1.0, 0, No
4706, 61, 37, 141, 3, 0.7, 0, Yes
4705, 54, 28, 102, 3, 1.7, 0, No
4704, 57, 27, 62, 3, 2.0, 0, No
4703, 35, 5, 108, 2, 2.8, 0, Yes
4702, 42, 16, 49, 1, 2.8, 0, No
4701, 31, 7, 170, 1, 6.0, 0, No
4700, 61, 36, 61, 2, 2.8, 153, No
4699, 48, 22, 162, 3, 1.4, 400, Yes
4698, 49, 22, 103, 3, 2.0, 167, No
4697, 59, 35, 70, 4, 2.3, 0, No
4696, 45, 19, 70, 1, 2.8, 0, No
4695, 39, 13, 25, 2, 0.8, 0, No
4694, 52, 28, 20, 1, 0.3, 0, No
4693, 59, 35, 32, 3, 0.4, 0, No
4692, 41, 17, 65, 3, 2.1, 0, No
4691, 59, 34, 19, 1, 0.3, 0, No
4690, 51, 27, 43, 4, 1.1, 164, No
4689, 29, 3, 69, 4, 1.8, 0, No
4688, 58, 34, 48, 4, 1.3, 0, No
4687, 61, 35, 113, 2, 2.8, 0, No
4686, 63, 39, 41, 4, 1.3, 0, No
4685, 59, 34, 103, 1, 2.6, 0, No
4684, 52, 28, 149, 2, 0.4, 0, No
4683, 55, 25, 44, 3, 1.0, 0, No
4682, 27, 3, 68, 4, 0.0, 0, No
4681, 46, 21, 154, 2, 2.8, 94, No
4680, 26, 0, 161, 2, 7.2, 0, No
4679, 33, 7, 115, 1, 2.7, 283, No
4678, 25, 0, 38, 2, 1.6, 0, No
4677, 39, 13, 68, 3, 2.1, 0, No
4676, 35, 11, 32, 1, 1.3, 137, No
4675, 40, 14, 93, 1, 2.8, 328, No
4674, 50, 23, 18, 2, 1.0, 88, No
4673, 52, 26, 180, 1, 1.7, 550, No
4672, 39, 14, 104, 1, 4.0, 0, No
4671, 52, 26, 194, 1, 1.7, 0, No
4670, 27, 1, 64, 4, 1.8, 0, No
4669, 40, 14, 63, 3, 0.5, 221, No
4668, 52, 28, 72, 1, 1.6, 0, No
4667, 34, 9, 72, 3, 2.3, 124, No
4666, 40, 16, 65, 2, 3.2, 0, No
4665, 62, 37, 83, 4, 0.1, 0, No
4664, 28, 3, 115, 1, 1.9, 200, No
4663, 56, 31, 59, 2, 1.9, 0, No
4662, 43, 19, 129, 1, 5.0, 0, No
4661, 59, 35, 38, 1, 0.8, 0, No
4660, 28, 4, 199, 1, 6.3, 0, No
4659, 36, 11, 69, 4, 2.1, 0, No
4658, 41, 16, 9, 2, 0.3, 0, No
4657, 47, 21, 38, 3, 0.6, 0, No
4656, 33, 7, 188, 2, 7.0, 581, Yes
4655, 44, 17, 69, 3, 2.7, 0, No
4654, 34, 10, 155, 2, 6.5, 0, No
4653, 38, 12, 184, 3, 8.0, 0, Yes
4652, 48, 24, 58, 2, 1.7, 0, No
4651, 47, 23, 63, 1, 0.8, 0, No
4650, 59, 35, 121, 1, 4.3, 0, No
4649, 37, 11, 75, 3, 0.9, 0, No
4648, 59, 35, 43, 4, 1.3, 0, No
4647, 38, 13, 119, 2, 3.3, 0, No
4646, 34, 10, 45, 1, 1.7, 84, No
4645, 58, 34, 22, 1, 0.1, 0, No
4644, 33, 7, 35, 4, 0.8, 0, No
4643, 65, 40, 143, 4, 6.6, 0, Yes
4642, 36, 11, 31, 4, 1.7, 124, No
4641, 30, 6, 42, 1, 2.1, 0, No
4640, 51, 25, 33, 3, 0.9, 0, No
4639, 37, 13, 89, 2, 1.7, 0, No
4638, 44, 19, 85, 4, 1.9, 0, No
4637, 41, 16, 78, 4, 0.4, 0, No
4636, 30, 5, 85, 2, 2.5, 293, No
4635, 42, 17, 29, 1, 0.6, 0, No
4634, 31, 5, 50, 1, 1.5, 0, No
4633, 54, 29, 62, 4, 0.7, 0, No
4632, 32, 8, 142, 4, 6.2, 120, Yes
4631, 46, 21, 92, 1, 0.2, 0, No
4630, 48, 24, 148, 2, 3.3, 0, No
4629, 27, 1, 130, 3, 2.9, 0, Yes
4628, 27, 1, 134, 1, 1.7, 307, Yes
4627, 58, 34, 58, 4, 2.3, 169, No
4626, 45, 21, 102, 4, 4.7, 81, Yes
4625, 36, 11, 83, 1, 2.8, 0, No
4624, 50, 25, 45, 2, 0.6, 0, No
4623, 47, 20, 13, 3, 0.7, 0, No
4622, 57, 32, 60, 3, 1.7, 0, No
4621, 52, 26, 84, 1, 2.4, 0, No
4620, 61, 36, 23, 1, 0.1, 96, No
4619, 35, 9, 29, 3, 0.9, 126, No
4618, 38, 13, 41, 3, 0.5, 0, No
4617, 66, 41, 114, 1, 0.8, 0, No
4616, 37, 12, 84, 4, 0.7, 0, No
4615, 56, 30, 15, 4, 0.7, 102, No
4614, 63, 38, 52, 4, 1.7, 218, No
4613, 32, 6, 18, 2, 0.3, 0, No
4612, 34, 7, 52, 2, 1.0, 0, No
4611, 37, 13, 79, 1, 3.6, 104, No
4610, 54, 28, 80, 4, 2.6, 143, No
4609, 44, 19, 28, 1, 0.3, 0, No
4608, 50, 23, 18, 1, 0.5, 0, No
4607, 44, 20, 199, 2, 6.7, 0, No
4606, 48, 22, 42, 1, 1.2, 0, No
4605, 32, 7, 81, 2, 3.4, 0, Yes
4604, 37, 12, 179, 1, 8.6, 0, No
4603, 57, 32, 81, 2, 3.7, 226, No
4602, 37, 12, 55, 1, 2.5, 0, No
4601, 54, 24, 75, 1, 1.4, 0, No
4600, 49, 25, 149, 2, 0.4, 0, No
4599, 51, 26, 21, 4, 0.8, 0, No
4598, 34, 10, 68, 3, 2.6, 0, No
4597, 37, 13, 61, 3, 2.8, 0, No
4596, 32, 7, 101, 4, 2.2, 0, No
4595, 53, 27, 31, 3, 0.9, 78, No
4594, 54, 30, 133, 1, 5.0, 0, Yes
4593, 43, 18, 53, 3, 0.8, 154, No
4592, 43, 16, 44, 3, 1.0, 0, No
4591, 58, 34, 151, 3, 0.6, 0, Yes
4590, 31, 7, 13, 1, 0.5, 0, No
4589, 35, 10, 85, 4, 2.1, 0, No
4588, 37, 11, 59, 4, 0.2, 0, No
4587, 58, 32, 61, 3, 2.2, 0, No
4586, 35, 11, 180, 1, 3.6, 571, Yes
4585, 26, 0, 49, 3, 2.4, 0, No
4584, 52, 26, 83, 1, 3.1, 0, Yes
4583, 25, -1, 69, 3, 0.3, 0, No
4582, 37, 13, 59, 1, 1.5, 0, No
4581, 50, 24, 102, 2, 6.3, 0, No
4580, 58, 32, 41, 1, 0.2, 81, No
4579, 45, 20, 90, 4, 1.1, 0, No
4578, 63, 37, 80, 2, 1.7, 0, No
4577, 55, 30, 41, 2, 0.6, 0, No
4576, 53, 27, 115, 2, 0.5, 0, Yes
4575, 35, 11, 193, 2, 6.5, 0, No
4574, 46, 20, 73, 2, 0.8, 264, No
4573, 32, 7, 81, 4, 1.8, 0, No
4572, 58, 28, 95, 1, 3.0, 0, No
4571, 32, 6, 99, 2, 4.5, 249, No
4570, 47, 21, 49, 3, 2.2, 0, No
4569, 26, 0, 44, 4, 1.3, 0, No
4568, 46, 20, 19, 3, 0.5, 97, No
4567, 24, 0, 131, 1, 5.4, 0, No
4566, 33, 8, 120, 2, 4.2, 76, Yes
4565, 58, 32, 28, 2, 0.3, 148, No
4564, 28, 2, 188, 2, 4.5, 0, No
4563, 65, 40, 64, 2, 1.5, 0, No
4562, 59, 33, 59, 3, 1.4, 0, No
4561, 43, 18, 13, 2, 0.1, 0, No
4560, 47, 20, 101, 3, 2.0, 270, No
4559, 44, 19, 82, 2, 0.4, 0, No
4558, 33, 9, 30, 2, 1.0, 0, No
4557, 55, 29, 79, 2, 1.1, 0, No
4556, 43, 19, 71, 3, 0.3, 179, No
4555, 41, 16, 109, 3, 1.0, 0, No
4554, 50, 25, 44, 2, 0.7, 192, No
4553, 50, 23, 64, 1, 2.7, 0, No
4552, 27, 0, 28, 4, 1.5, 0, No
4551, 65, 40, 18, 1, 1.5, 0, No
4550, 53, 29, 41, 2, 0.8, 0, No
4549, 58, 33, 73, 4, 0.7, 241, No
4548, 50, 25, 32, 2, 0.7, 0, No
4547, 48, 24, 74, 3, 0.7, 0, No
4546, 61, 35, 35, 2, 0.2, 0, No
4545, 28, 4, 80, 3, 2.5, 0, No
4544, 62, 38, 33, 3, 0.1, 0, No
4543, 53, 29, 20, 1, 0.2, 0, No
4542, 62, 38, 124, 1, 3.8, 405, No
4541, 56, 32, 64, 4, 1.5, 0, No
4540, 48, 24, 14, 4, 1.0, 0, No
4539, 51, 24, 85, 3, 2.0, 0, No
4538, 62, 36, 63, 1, 2.5, 0, No
4537, 62, 37, 38, 3, 0.5, 0, No
4536, 42, 18, 39, 3, 2.1, 0, No
4535, 41, 17, 83, 4, 2.7, 0, No
4534, 59, 34, 19, 2, 0.5, 0, No
4533, 48, 22, 133, 2, 3.1, 0, Yes
4532, 31, 7, 35, 1, 1.3, 131, No
4531, 33, 9, 19, 2, 1.0, 92, No
4530, 27, 0, 40, 4, 1.0, 0, No
4529, 48, 23, 48, 1, 0.3, 0, No
4528, 41, 16, 18, 1, 0.6, 0, No
4527, 36, 9, 40, 2, 1.7, 129, No
4526, 36, 11, 110, 1, 3.8, 0, No
4525, 48, 24, 79, 3, 0.7, 0, No
4524, 29, 4, 50, 4, 1.7, 0, No
4523, 31, 5, 29, 1, 0.3, 0, No
4522, 56, 31, 25, 3, 0.1, 0, No
4521, 32, 7, 41, 4, 2.0, 0, No
4520, 45, 21, 32, 4, 0.6, 77, No
4519, 53, 28, 30, 4, 0.2, 0, No
4518, 45, 18, 50, 3, 2.5, 0, No
4517, 58, 32, 12, 4, 0.7, 0, No
4516, 29, 3, 49, 4, 2.1, 0, No
4515, 24, -3, 41, 4, 1.0, 0, No
4514, 43, 19, 114, 1, 1.7, 0, No
4513, 46, 22, 25, 4, 0.6, 0, No
4512, 41, 17, 9, 1, 1.0, 0, No
4511, 64, 39, 20, 3, 0.1, 0, No
4510, 55, 30, 53, 3, 1.7, 0, No
4509, 27, 2, 85, 1, 1.9, 0, No
4508, 26, 1, 8, 2, 0.9, 0, No
4507, 39, 13, 89, 1, 2.8, 153, No
4506, 40, 15, 90, 4, 1.1, 0, No
4505, 27, 1, 41, 4, 1.8, 147, No
4504, 45, 21, 33, 3, 0.5, 108, No
4503, 57, 32, 80, 2, 0.0, 0, No
4502, 59, 33, 38, 3, 2.2, 178, No
4501, 50, 26, 24, 4, 0.5, 0, No
4500, 53, 26, 22, 1, 0.5, 0, No
4499, 51, 26, 133, 1, 0.6, 328, No
4498, 45, 21, 85, 2, 3.2, 0, No
4497, 51, 25, 45, 4, 2.6, 0, No
4496, 38, 14, 82, 4, 2.7, 0, No
4495, 29, 4, 182, 1, 3.7, 0, Yes
4494, 52, 28, 74, 1, 2.6, 0, No
4493, 56, 26, 91, 1, 3.0, 0, No
4492, 41, 16, 64, 4, 0.4, 0, No
4491, 35, 9, 142, 2, 0.0, 0, No
4490, 39, 13, 21, 3, 0.2, 0, No
4489, 30, 4, 50, 1, 1.5, 0, No
4488, 38, 14, 81, 1, 3.6, 0, No
4487, 44, 19, 48, 3, 0.8, 0, No
4486, 35, 9, 50, 4, 2.2, 0, No
4485, 36, 11, 195, 2, 3.0, 0, No
4484, 54, 28, 155, 1, 1.0, 256, No
4483, 40, 14, 28, 2, 0.8, 0, No
4482, 25, -2, 35, 4, 1.0, 0, No
4481, 55, 30, 145, 2, 6.0, 0, Yes
4480, 32, 8, 128, 2, 4.3, 0, No
4479, 33, 9, 53, 1, 2.1, 0, No
4478, 33, 9, 41, 1, 1.5, 0, No
4477, 58, 32, 40, 2, 0.3, 0, No
4476, 43, 18, 59, 3, 0.8, 91, No
4475, 66, 41, 73, 3, 2.4, 0, No
4474, 31, 5, 18, 2, 0.3, 124, No
4473, 50, 25, 90, 1, 2.8, 0, No
4472, 56, 30, 79, 3, 0.8, 302, No
4471, 44, 20, 111, 2, 5.3, 0, Yes
4470, 40, 14, 53, 3, 0.5, 0, No
4469, 67, 42, 51, 3, 2.2, 0, No
4468, 55, 30, 99, 1, 0.1, 0, No
4467, 34, 10, 60, 3, 2.8, 0, No
4466, 39, 15, 54, 4, 2.2, 0, No
4465, 60, 35, 29, 3, 0.2, 79, No
4464, 39, 13, 69, 3, 0.1, 0, No
4463, 33, 7, 39, 4, 0.8, 0, No
4462, 46, 21, 30, 4, 1.9, 0, No
4461, 47, 22, 78, 1, 0.2, 0, No
4460, 32, 8, 115, 1, 4.0, 0, No
4459, 48, 22, 90, 2, 0.8, 205, No
4458, 55, 29, 81, 3, 1.7, 171, No
4457, 29, 3, 35, 2, 0.3, 88, No
4456, 56, 31, 28, 1, 1.5, 0, No
4455, 50, 24, 38, 3, 0.6, 0, No
4454, 37, 11, 11, 3, 0.1, 0, No
4453, 59, 35, 53, 4, 2.3, 174, No
4452, 67, 41, 18, 2, 0.4, 0, No
4451, 44, 20, 45, 2, 2.5, 0, No
4450, 30, 6, 44, 1, 0.2, 0, No
4449, 59, 34, 40, 3, 0.9, 0, No
4448, 49, 22, 78, 3, 2.0, 0, No
4447, 61, 35, 61, 3, 2.2, 117, No
