V1,V2
2010-02-22-0820,10003162
2010-02-22-0820,10003333
2010-02-22-0820,10001519
2010-02-22-0820,10003364
2010-02-22-0820,10093119
2010-02-22-0820,10003375
2010-02-23-0819,10003333
2010-02-23-0819,10004365
2010-02-23-0819,10186585
2010-02-23-0819,10003333
2010-02-23-0819,10001519
2010-02-23-0819,10003364
2010-02-23-0819,10003373
2010-02-23-0819,10003374
2010-02-24-0824,10003332
2010-02-24-0824,10001519
2010-02-24-0824,10186585
2010-02-24-0824,10003332
2010-02-24-0824,10001519
2010-02-24-0824,10003364
2010-02-24-0824,10003373
2010-02-24-0824,10003374
2010-02-25-0822,10004365
2010-02-25-0822,10000005
2010-02-25-0822,10004365
2010-02-25-0822,10003332
2010-02-25-0822,10001519
2010-02-25-0822,10003364
2010-02-25-0822,10003373
2010-02-25-0822,10003374
2010-02-26-0824,10001519
2010-02-26-0824,10186585
2010-02-26-0824,10001519
2010-02-26-0824,10003332
2010-02-26-0824,10001519
2010-02-26-0824,10003364
2010-02-26-0824,10003373
2010-02-26-0824,10003374
2010-02-27-0821,10003332
2010-02-27-0821,10001519
2010-02-27-0821,10003364
2010-02-27-0821,10003373
2010-02-27-0822,10003374
2010-02-28-0822,10003332
2010-02-28-0822,10001519
2010-02-28-0822,10003364
2010-02-28-0822,10003373
2010-02-28-0822,10003374
2010-03-01-0819,10001519
2010-03-01-0819,10001476
2010-03-01-0819,10001519
2010-03-01-0819,10002195
2010-03-01-0819,10001519
2010-03-01-0819,10003364
2010-03-01-0819,10093119
2010-03-01-0819,10003375
2010-03-02-0820,10003332
2010-03-02-0820,10001519
2010-03-02-0820,10003364
2010-03-02-0820,10003373
2010-03-02-0820,10003374
2010-03-03-0819,10003332
2010-03-03-0819,10000012
2010-03-03-0819,10186585
2010-03-03-0820,10003332
2010-03-03-0820,10001519
2010-03-03-0820,10003364
2010-03-03-0820,10003373
2010-03-03-0820,10003374
2010-03-04-1320,10001519
2010-03-04-1320,10003344
2010-03-04-1320,10001519
2010-03-04-1321,10003332
2010-03-04-1321,10001519
2010-03-04-1321,10003364
2010-03-04-1321,10093119
2010-03-04-1321,10003375
2010-03-05-0822,10003332
2010-03-05-0822,10001519
2010-03-05-0822,10003364
2010-03-05-0822,10003373
2010-03-05-0822,10003374
2010-03-06-1320,10003332
2010-03-06-1320,10001519
2010-03-06-1320,10003364
2010-03-06-1320,10093119
2010-03-06-1320,10003375
2010-03-07-0821,10186585
2010-03-07-0821,10000005
2010-03-07-0821,10003162
2010-03-07-0821,10003332
2010-03-07-0821,10001519
2010-03-07-0821,10003364
2010-03-07-0821,10003373
2010-03-07-0821,10003374
2010-03-09-0822,10168051
2010-03-09-0822,10001519
2010-03-09-0822,10003364
2010-03-09-0822,10093119
2010-03-09-0822,10003375
2010-03-10-1319,10003332
2010-03-10-1319,10001519
2010-03-10-1319,10003364
2010-03-10-1319,10003373
2010-03-10-1319,10003374
2010-03-11-0826,10003332
2010-03-11-0826,10001519
2010-03-11-0826,10003364
2010-03-11-0826,10093119
2010-03-11-0826,10003375
2010-03-12-1319,10004364
2010-03-12-1319,10003336
2010-03-12-1319,10004364
2010-03-12-1319,10003332
2010-03-12-1319,10001519
2010-03-12-1319,10003364
2010-03-12-1319,10093119
2010-03-12-1319,10003375
2010-03-13-1319,10003332
2010-03-13-1319,10001519
2010-03-13-1319,10003364
2010-03-13-1319,10003373
2010-03-13-1319,10003374
2010-03-14-1320,10003332
2010-03-14-1320,10001519
2010-03-14-1320,10003364
2010-03-14-1320,10003373
2010-03-14-1320,10003374
2010-03-09-0822,10168051
2010-03-09-0822,10001519
2010-03-09-0822,10003364
2010-03-09-0822,10093119
2010-03-09-0822,10003375
2010-03-10-1319,10003332
2010-03-10-1319,10001519
2010-03-10-1319,10003364
2010-03-10-1319,10003373
2010-03-10-1319,10003374
2010-03-11-0826,10003332
2010-03-11-0826,10001519
2010-03-11-0826,10003364
2010-03-11-0826,10093119
2010-03-11-0826,10003375
2010-03-12-1319,10004364
2010-03-12-1319,10003336
2010-03-12-1319,10004364
2010-03-12-1319,10003332
2010-03-12-1319,10001519
2010-03-12-1319,10003364
2010-03-12-1319,10093119
2010-03-12-1319,10003375
2010-03-13-1319,10003332
2010-03-13-1319,10001519
2010-03-13-1319,10003364
2010-03-13-1319,10003373
2010-03-13-1319,10003374
2010-03-14-1320,10003332
2010-03-14-1320,10001519
2010-03-14-1320,10003364
2010-03-14-1320,10003373
2010-03-14-1320,10003374
2010-03-15-1320,10003332
2010-03-15-1320,10001519
2010-03-15-1320,10003364
2010-03-15-1320,10093119
2010-03-15-1320,10003375
2010-03-16-1315,10003332
2010-03-16-1315,10001519
2010-03-16-1315,10003364
2010-03-16-1315,10003373
2010-03-16-1315,10003374
2010-03-17-0820,10003332
2010-03-17-0820,10001519
2010-03-17-0820,10003364
2010-03-17-0820,10003373
2010-03-17-0820,10003374
2010-03-18-0818,10003375
2010-03-18-0818,10093119
2010-03-18-0818,10003364
2010-03-18-0818,10001519
2010-03-18-0818,10003332
2010-03-19-0818,10003332
2010-03-19-0818,10001519
2010-03-19-0818,10003364
2010-03-20-0815,10003332
2010-03-20-0815,10001519
2010-03-20-0816,10003364
2010-03-20-0816,10093119
2010-03-20-0816,10003375
2010-03-21-0817,10003332
2010-03-21-0817,10001519
2010-03-21-0817,10003364
2010-03-21-0817,10003373
2010-03-21-0817,10003374
2010-03-22-0814,10003332
2010-03-22-0814,10001519
2010-03-22-0814,10003364
2010-03-22-0814,10093119
2010-03-22-0814,10003375
2010-03-23-0818,10003332
2010-03-23-0819,10001519
2010-03-23-0819,10003364
2010-03-23-0819,10003373
2010-03-23-0819,10003374
2010-03-24-0818,10003332
2010-03-24-0818,10001519
2010-03-24-0818,10003364
2010-03-24-0818,10093119
2010-03-24-0818,10003375
2010-03-25-0830,10003332
2010-03-25-0830,10001519
2010-03-25-0830,10003364
2010-03-25-0830,10093119
2010-03-25-0830,10003375
2010-03-26-0830,10003332
2010-03-26-0830,10001519
2010-03-26-0830,10003364
2010-03-26-0830,10093119
2010-03-26-0830,10003375
2010-03-27-0831,10003332
2010-03-27-0831,10001519
2010-03-27-0831,10003364
2010-03-27-0832,10093119
2010-03-27-0832,10003375
2010-03-28-0831,10003332
2010-03-28-0831,10171892
2010-03-28-0831,10000005
2010-03-28-0831,10003332
2010-03-28-0831,10001519
2010-03-28-0831,10003364
2010-03-28-0831,10003373
2010-03-28-0831,10003374
2010-03-29-0830,10003332
2010-03-29-0830,10001519
2010-03-29-0830,10003364
2010-03-29-0830,10003373
2010-03-29-0830,10003374
2010-03-30-0827,10004365
2010-03-30-0827,10000005
2010-03-30-0827,10004365
2010-03-30-0828,10003332
2010-03-30-0828,10001519
2010-03-30-0828,10003364
2010-03-30-0828,10093119
2010-03-30-0828,10003375
2010-03-31-0826,10198388
2010-03-31-0826,10003162
2010-03-31-0826,10198388
2010-03-31-0826,10003332
2010-03-31-0826,10001519
2010-03-31-0826,10003364
2010-03-31-0826,10093119
2010-03-31-0826,10003375
2010-04-01-0827,10001519
2010-04-01-0827,10003162
2010-04-01-0827,10001519
2010-04-01-0827,10001476
2010-04-01-0827,10001519
2010-04-01-0827,10003364
2010-04-01-0827,10093119
2010-04-01-0827,10003375
2010-04-02-0828,10004365
2010-04-02-0828,10000005
2010-04-02-0828,10004365
2010-04-02-0829,10001476
2010-04-02-0829,10001519
2010-04-02-0829,10003364
2010-04-02-0829,10093119
2010-04-02-0829,10003375
2010-04-03-0828,10001519
2010-04-03-0828,10186585
2010-04-03-0828,10001519
2010-04-03-0828,10006852
2010-04-03-0828,10001519
2010-04-03-0828,10003364
2010-04-03-0828,10003373
2010-04-03-0828,10003374
2010-04-06-0828,10168051
2010-04-06-0828,10001519
2010-04-06-0828,10003364
2010-04-06-0828,10003373
2010-04-06-0828,10003374
2010-04-07-0827,10004365
2010-04-07-0827,10000012
2010-04-07-0827,10004365
2010-04-07-0827,10040312
2010-04-07-0827,10001519
2010-04-07-0827,10003364
2010-04-07-0827,10003373
2010-04-07-0827,10003374
2010-04-08-0827,10040312
2010-04-08-0827,10001519
2010-04-08-0827,10003364
2010-04-08-0827,10093119
2010-04-08-0827,10003375
2010-04-09-0828,10004365
2010-04-09-0828,10004368
2010-04-09-0828,10004365
2010-04-09-0829,10168051
2010-04-09-0829,10001519
2010-04-09-0829,10003364
2010-04-09-0829,10003373
2010-04-09-0829,10003374
2010-04-10-0828,10040312
2010-04-10-0829,10001519
2010-04-10-0829,10003364
2010-04-10-0829,10003373
2010-04-10-0829,10003375
2010-04-11-0828,10198388
2010-04-11-0828,10000005
2010-04-11-0828,10198388
2010-04-11-0829,10002195
2010-04-11-0829,10001519
2010-04-11-0829,10003364
2010-04-11-0829,10093119
2010-04-11-0829,10003375
2010-04-12-0828,10004365
2010-04-12-0828,10000012
2010-04-12-0828,10004365
2010-04-12-0829,10002195
2010-04-12-0829,10001519
2010-04-12-0829,10003364
2010-04-12-0829,10003373
2010-04-12-0829,10003375
2010-04-13-0827,10004365
2010-04-13-0827,10200596
2010-04-13-0827,10004365
2010-04-13-0827,10003333
2010-04-13-0828,10001519
2010-04-13-0828,10003364
2010-04-13-0828,10093119
2010-04-13-0828,10200597
2010-04-14-0826,10004365
2010-04-14-0826,10200596
2010-04-14-0826,10004365
2010-04-14-0827,10040312
2010-04-14-0827,10001519
2010-04-14-0827,10003364
2010-04-14-0827,10003373
2010-04-14-0827,10003375
2010-04-15-0828,10004365
2010-04-15-0828,10003351
2010-04-15-0828,10004365
2010-04-15-0828,10040312
2010-04-15-0828,10001519
2010-04-15-0828,10003364
2010-04-15-0828,10093119
2010-04-15-0828,10200597
2010-04-16-0827,10001519
2010-04-16-0827,10200596
2010-04-16-0827,10001519
2010-04-16-0827,10040312
2010-04-16-0827,10001519
2010-04-16-0827,10003364
2010-04-16-0827,10093119
2010-04-16-0827,10200597
2010-04-17-0826,10000012
2010-04-17-0826,10186585
2010-04-17-0826,10004366
2010-04-17-0827,10168051
2010-04-17-0827,10001519
2010-04-17-0827,10003364
2010-04-17-0827,10093119
2010-04-17-0827,10200597
2010-04-18-0825,10040312
2010-04-18-0825,10001519
2010-04-18-0825,10003364
2010-04-18-0825,10003373
2010-04-18-0825,10003375
2010-04-19-0825,10004365
2010-04-19-0825,10186585
2010-04-19-0825,10004365
2010-04-19-0825,10040312
2010-04-19-0825,10001519
2010-04-19-0825,10003364
2010-04-19-0825,10093119
2010-04-19-0825,10200597
2010-04-20-0825,10004365
2010-04-20-0825,10004366
2010-04-20-0825,10004365
2010-04-20-0826,10002195
2010-04-20-0826,10001519
2010-04-20-0826,10003364
2010-04-20-0826,10003373
2010-04-20-0826,10003375
2010-04-21-0825,10004365
2010-04-21-0825,10002195
2010-04-21-0825,10004365
2010-04-21-0826,10040312
2010-04-21-0826,10001519
2010-04-21-0826,10003364
2010-04-21-0826,10093119
2010-04-21-0826,10200597
2010-04-22-0825,10004365
2010-04-22-0825,10186585
2010-04-22-0825,10004365
2010-04-22-0826,10168051
2010-04-22-0826,10001519
2010-04-22-0826,10003364
2010-04-22-0826,10003373
2010-04-22-0826,10003375
2010-04-23-0829,10004365
2010-04-23-0829,10186585
2010-04-23-0829,10004365
2010-04-23-0829,10002195
2010-04-23-0829,10001519
2010-04-23-0829,10003364
2010-04-23-0829,10003373
2010-04-23-0829,10003375
2010-04-24-0831,10000012
2010-04-24-0831,10002195
2010-04-24-0831,10000012
2010-04-24-0831,10040312
2010-04-24-0831,10001519
2010-04-24-0831,10003364
2010-04-24-0831,10003373
2010-04-24-0831,10003375
2010-04-25-0832,10040312
2010-04-25-0832,10001519
2010-04-25-0832,10003364
2010-04-25-0832,10093119
2010-04-25-0832,10200597
2010-04-26-0826,10040312
2010-04-26-0826,10001519
2010-04-26-0826,10003364
2010-04-26-0826,10003373
2010-04-26-0826,10003375
2010-04-27-0826,10004365
2010-04-27-0826,10003344
2010-04-27-0826,10004365
2010-04-27-0826,10002195
2010-04-27-0826,10001519
2010-04-27-0826,10003364
2010-04-27-0826,10003373
2010-04-27-0826,10003375
2010-04-28-0826,10040312
2010-04-28-0826,10001519
2010-04-28-0826,10003364
2010-04-28-0826,10093119
2010-04-28-0826,10200597
2010-04-29-0828,10004365
2010-04-29-0828,10002195
2010-04-29-0828,10004365
2010-04-29-0828,10168051
2010-04-29-0828,10001519
2010-04-29-0828,10003364
2010-04-29-0828,10093119
2010-04-29-0828,10200597
2010-04-30-0829,10202734
2010-04-30-0829,10004366
2010-04-30-0829,10000012
2010-04-30-0830,10040312
2010-04-30-0830,10001519
2010-04-30-0830,10003364
2010-04-30-0830,10093119
2010-04-30-0830,10200597
2010-05-01-0828,10168051
2010-05-01-0828,10001519
2010-05-01-0828,10003364
2010-05-01-0828,10093119
2010-05-01-0828,10202857
2010-05-02-0829,10075031
2010-05-02-0829,10003356
2010-05-02-0829,10075031
2010-05-02-0829,10178187
2010-05-02-0829,10001519
2010-05-02-0829,10003364
2010-05-02-0829,10003373
2010-05-02-0829,10200597
2010-05-03-0827,10004365
2010-05-03-0827,10000005
2010-05-03-0827,10004365
2010-05-03-0828,10040312
2010-05-03-0828,10001519
2010-05-03-0828,10003364
2010-05-03-0828,10093119
2010-05-03-0828,10202857
2010-05-04-0829,10040312
2010-05-04-0829,10001519
2010-05-04-0829,10003364
2010-05-04-0829,10003373
2010-05-04-0829,10200597
2010-05-05-0828,10004365
2010-05-05-0828,10001519
2010-05-05-0828,10004365
2010-05-05-0828,10040312
2010-05-05-0828,10001519
2010-05-05-0828,10003364
2010-05-05-0828,10003373
2010-05-05-0828,10200597
2010-05-06-0825,10002195
2010-05-06-0825,10001519
2010-05-06-0825,10003364
2010-05-06-0825,10003373
2010-05-06-0825,10200597
2010-05-07-0828,10040312
2010-05-07-0828,10001519
2010-05-07-0828,10003364
2010-05-07-0828,10093119
2010-05-07-0828,10202857
2010-05-08-0826,10178187
2010-05-08-0826,10001519
2010-05-08-0826,10003364
2010-05-08-0826,10003373
2010-05-08-0826,10200597
2010-05-09-0826,10156594
2010-05-09-0826,10152219
2010-05-09-0826,10156594
2010-05-09-0827,10002195
2010-05-09-0827,10001519
2010-05-09-0827,10003364
2010-05-09-0827,10003373
2010-05-09-0827,10200597
2010-05-18-0829,10003346
2010-05-18-0829,10003334
2010-05-18-0829,10003346
2010-05-18-0830,10004369
2010-05-18-0830,10001519
2010-05-18-0830,10003364
2010-05-18-0830,10003373
2010-05-18-0830,10200597
2010-05-19-0831,10003346
2010-05-19-0831,10000012
2010-05-19-0831,10003346
2010-05-19-0831,10168051
2010-05-19-0831,10001519
2010-05-19-0831,10003364
2010-05-19-0831,10093119
2010-05-19-0831,10202857
2010-05-20-0830,10004365
2010-05-20-0830,10000005
2010-05-20-0830,10004365
2010-05-21-0832,10178187
2010-05-21-0832,10001519
2010-05-21-0832,10003364
2010-05-21-0832,10093119
2010-05-21-0832,10202857
2010-05-22-0830,10001209
2010-05-22-0830,10003344
2010-05-22-0830,10001209
2010-05-22-0830,10002195
2010-05-22-0830,10001519
2010-05-22-0830,10003364
2010-05-22-0830,10003373
2010-05-22-0830,10200597
2010-05-24-0831,10004365
2010-05-24-0831,10003344
2010-05-24-0831,10004365
2010-05-24-0831,10168051
2010-05-24-0831,10001519
2010-05-24-0831,10003364
2010-05-24-0831,10093119
2010-05-24-0831,10202857
2010-05-25-0831,10002195
2010-05-25-0831,10001519
2010-05-25-0831,10003364
2010-05-25-0831,10003373
2010-05-25-0831,10200597
2010-05-26-0830,10002195
2010-05-26-0830,10001519
2010-05-26-0830,10003364
2010-05-26-0830,10093119
2010-05-26-0830,10202857
2010-05-27-0830,10001519
2010-05-27-0830,10000012
2010-05-27-0830,10177250
2010-05-27-0830,10002195
2010-05-27-0830,10001519
2010-05-27-0830,10003364
2010-05-27-0830,10003373
2010-05-27-0830,10200597
2010-05-28-0831,10002195
2010-05-28-0831,10001519
2010-05-28-0831,10003364
2010-05-28-0831,10003373
2010-05-28-0831,10200597
2010-05-29-0830,10178187
2010-05-29-0830,10001519
2010-05-29-0830,10003364
2010-05-29-0830,10003373
2010-05-29-0830,10200597
2010-05-30-0830,10206087
2010-05-30-0830,10000012
2010-05-30-0830,10206087
2010-05-30-0830,10002195
2010-05-30-0830,10001519
2010-05-30-0830,10003364
2010-05-30-0830,10093119
2010-05-30-0830,10202857
2010-05-31-0830,10205429
2010-05-31-0830,10049899
2010-05-31-0830,10205429
2010-05-31-0831,10002195
2010-05-31-0831,10001519
2010-05-31-0831,10003364
2010-05-31-0831,10003373
2010-05-31-0831,10200597
2010-06-01-0831,10002195
2010-06-01-0831,10001519
2010-06-01-0831,10003364
2010-06-01-0831,10003373
2010-06-01-0831,10200597
2010-06-02-0829,10178187
2010-06-02-0829,10001519
2010-06-02-0829,10003364
2010-06-02-0829,10093119
2010-06-02-0829,10202857
2010-06-03-0831,10001519
2010-06-03-0831,10000012
2010-06-03-0831,10004365
2010-06-03-0831,10168051
2010-06-03-0831,10001519
2010-06-03-0831,10003364
2010-06-03-0831,10003373
2010-06-03-0831,10200597
2010-06-04-0827,10001519
2010-06-04-0827,10003344
2010-06-04-0827,10004365
2010-06-04-0827,10002195
2010-06-04-0827,10001519
2010-06-04-0827,10003364
2010-06-04-0827,10093119
2010-06-04-0827,10202857
2010-06-05-0827,10168051
2010-06-05-0827,10156594
2010-06-05-0827,10004366
2010-06-05-0827,10100907
2010-06-05-0827,10001519
2010-06-05-0827,10003364
2010-06-05-0827,10093119
2010-06-05-0827,10202857
2010-06-06-0827,10001519
2010-06-06-0827,10003334
2010-06-06-0827,10003344
2010-06-06-0827,10002195
2010-06-06-0827,10001519
2010-06-06-0827,10003364
2010-06-06-0827,10003373
2010-06-06-0827,10200597
2010-06-08-0824,10050494
2010-06-08-0824,10001519
2010-06-08-0824,10003364
2010-06-08-0824,10003373
2010-06-08-0824,10200597
2010-06-09-0827,10002195
2010-06-09-0827,10001519
2010-06-09-0827,10003364
2010-06-09-0827,10093119
2010-06-09-0827,10202857
2010-06-10-0826,10202734
2010-06-10-0826,10186585
2010-06-10-0826,10004365
2010-06-10-0826,10002195
2010-06-10-0826,10001519
2010-06-10-0826,10003364
2010-06-10-0826,10003373
2010-06-10-0826,10200597
2010-06-11-0827,10004365
2010-06-11-0827,10186585
2010-06-11-0827,10004365
2010-06-11-0827,10178187
2010-06-11-0827,10001519
2010-06-11-0827,10003364
2010-06-11-0827,10093119
2010-06-11-0827,10202857
2010-06-12-0826,10003339
2010-06-12-0826,10003344
2010-06-12-0826,10003339
2010-06-12-0827,10001519
2010-06-12-0827,10001519
2010-06-12-0827,10003364
2010-06-12-0827,10093119
2010-06-12-0827,10202857
2010-06-13-0826,10178187
